,page,edit_type,time_column
56,Pipe-Frosting-Neatly,add_info,0.6428571428571429
57,Pipe-Frosting-Neatly,add_info,0.7142857142857143
58,Pipe-Frosting-Neatly,grammer,0.7857142857142857
59,Pipe-Frosting-Neatly,remove_info,0.7857142857142857
60,Pipe-Frosting-Neatly,modify_info,0.8571428571428571
61,Pipe-Frosting-Neatly,remove_info,0.8571428571428571
62,Pipe-Frosting-Neatly,add_info,0.8571428571428571
63,Pipe-Frosting-Neatly,remove_media,0.9285714285714286
64,Make-a-Royal-Flush-Drink,initializer,0.2
65,Make-a-Royal-Flush-Drink,modify_info,0.4
66,Make-a-Royal-Flush-Drink,add_media,0.4
67,Make-a-Royal-Flush-Drink,modify_media,0.6
68,Make-a-Royal-Flush-Drink,add_info,0.8
69,Make-a-Royal-Flush-Drink,initializer,0.2
70,Make-a-Royal-Flush-Drink,modify_info,0.4
71,Make-a-Royal-Flush-Drink,add_media,0.4
72,Make-a-Royal-Flush-Drink,modify_media,0.6
73,Make-a-Royal-Flush-Drink,add_info,0.8
74,Smoke-Beef-Ribs,add_media,0.08823529411764706
75,Smoke-Beef-Ribs,add_media,0.11764705882352941
76,Smoke-Beef-Ribs,add_info,0.11764705882352941
77,Smoke-Beef-Ribs,add_media,0.14705882352941177
78,Smoke-Beef-Ribs,remove_media,0.17647058823529413
79,Smoke-Beef-Ribs,add_media,0.20588235294117646
80,Smoke-Beef-Ribs,remove_media,0.23529411764705882
81,Smoke-Beef-Ribs,add_media,0.2647058823529412
82,Smoke-Beef-Ribs,add_info,0.35294117647058826
83,Smoke-Beef-Ribs,remove_info,0.5588235294117647
84,Smoke-Beef-Ribs,add_info,0.5588235294117647
85,Smoke-Beef-Ribs,remove_media,0.5588235294117647
86,Smoke-Beef-Ribs,remove_info,0.5882352941176471
87,Smoke-Beef-Ribs,add_media,0.5882352941176471
88,Smoke-Beef-Ribs,add_info,0.5882352941176471
89,Smoke-Beef-Ribs,add_media,0.6176470588235294
90,Smoke-Beef-Ribs,remove_media,0.6176470588235294
91,Smoke-Beef-Ribs,add_info,0.6764705882352942
92,Smoke-Beef-Ribs,remove_info,0.7058823529411765
93,Smoke-Beef-Ribs,add_info,0.7058823529411765
94,Smoke-Beef-Ribs,reversion,0.7352941176470589
95,Smoke-Beef-Ribs,remove_info,0.7647058823529411
96,Smoke-Beef-Ribs,add_info,0.7647058823529411
97,Smoke-Beef-Ribs,remove_info,0.7941176470588235
98,Smoke-Beef-Ribs,add_info,0.7941176470588235
99,Smoke-Beef-Ribs,modify_info,0.8235294117647058
100,Smoke-Beef-Ribs,grammer,0.8235294117647058
101,Smoke-Beef-Ribs,grammer,0.9117647058823529
102,Smoke-Beef-Ribs,modify_info,0.9117647058823529
103,Smoke-Beef-Ribs,remove_media,0.9117647058823529
104,Smoke-Beef-Ribs,add_media,0.08823529411764706
105,Smoke-Beef-Ribs,add_media,0.11764705882352941
106,Smoke-Beef-Ribs,add_info,0.11764705882352941
107,Smoke-Beef-Ribs,add_media,0.14705882352941177
108,Smoke-Beef-Ribs,remove_media,0.17647058823529413
109,Smoke-Beef-Ribs,add_media,0.20588235294117646
110,Smoke-Beef-Ribs,remove_media,0.23529411764705882
111,Smoke-Beef-Ribs,add_media,0.2647058823529412
112,Smoke-Beef-Ribs,add_info,0.35294117647058826
113,Smoke-Beef-Ribs,remove_info,0.5588235294117647
114,Smoke-Beef-Ribs,add_info,0.5588235294117647
115,Smoke-Beef-Ribs,remove_media,0.5588235294117647
116,Smoke-Beef-Ribs,remove_info,0.5882352941176471
117,Smoke-Beef-Ribs,add_media,0.5882352941176471
118,Smoke-Beef-Ribs,add_info,0.5882352941176471
119,Smoke-Beef-Ribs,add_media,0.6176470588235294
120,Smoke-Beef-Ribs,remove_media,0.6176470588235294
121,Smoke-Beef-Ribs,add_info,0.6764705882352942
122,Smoke-Beef-Ribs,remove_info,0.7058823529411765
123,Smoke-Beef-Ribs,add_info,0.7058823529411765
124,Smoke-Beef-Ribs,reversion,0.7352941176470589
