date,gname,longitude,latitude,value,attype
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Bombing/Explosion
2017-01-10,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Bombing/Explosion
2017-01-11,Sinai Province of the Islamic State,33.800865,31.126646,4.0,Unknown
2017-01-11,Boko Haram,14.658782,10.631559,2.0,Bombing/Explosion
2017-01-12,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,17.0,Bombing/Explosion
2017-01-11,Khorasan Chapter of the Islamic State,70.44959300000001,34.417122,0.0,Bombing/Explosion
2017-01-11,Sinai Province of the Islamic State,33.800865,31.126646,3.0,Armed Assault
2017-01-11,Al-Shabaab,45.763056,2.853333,2.0,Bombing/Explosion
2017-01-12,Islamic State of Iraq and the Levant (ISIL),43.668377,34.621521,4.0,Bombing/Explosion
2017-01-12,Islamic State of Iraq and the Levant (ISIL),43.483738,34.533753000000004,0,Unknown
2017-01-12,Boko Haram,12.756611,11.156084,2.0,Bombing/Explosion
2017-01-12,Maoists,80.73156,18.768324,0.0,Bombing/Explosion
2017-01-12,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,5.0,Bombing/Explosion
2017-01-12,Islamic State of Iraq and the Levant (ISIL),41.698021000000004,33.201392999999996,2.0,Hostage Taking (Kidnapping)
2017-01-13,Khorasan Chapter of the Islamic State,70.621883,34.165506,0.0,Facility/Infrastructure Attack
2017-01-13,Khorasan Chapter of the Islamic State,70.563889,34.121666999999995,0.0,Facility/Infrastructure Attack
2017-01-13,Khorasan Chapter of the Islamic State,70.537778,34.108610999999996,0.0,Facility/Infrastructure Attack
2017-01-13,Khorasan Chapter of the Islamic State,70.621883,34.165506,0.0,Facility/Infrastructure Attack
2017-01-13,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,17.0,Unknown
2017-01-13,Islamic State of Iraq and the Levant (ISIL),41.698021000000004,33.201392999999996,1.0,Unknown
2017-01-13,Taliban,69.80444399999999,37.141667,4.0,Armed Assault
2017-01-13,Taliban,68.785336,33.171683,2.0,Armed Assault
2017-01-13,Khorasan Chapter of the Islamic State,71.423999,30.181742,0.0,Hostage Taking (Kidnapping)
2017-01-13,Boko Haram,13.627589000000002,10.890928,9.0,Bombing/Explosion
2017-01-13,Boko Haram,13.506167999999999,13.310559,13.0,Armed Assault
2017-01-13,Maoists,82.10879,18.108706,0,Hostage Taking (Kidnapping)
2017-01-14,Taliban,68.868066,36.728590999999994,3.0,Armed Assault
2017-01-14,Taliban,68.868066,36.728590999999994,2.0,Armed Assault
2017-01-14,Islamic State of Iraq and the Levant (ISIL),44.892578,33.794651,8.0,Armed Assault
2017-01-14,Al-Shabaab,45.326115,2.059819,2.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),43.646389,35.0325,8.0,Unknown
2017-01-14,Islamic State of Iraq and the Levant (ISIL),42.37254,34.160587,1.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,1.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,1.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0.0,Bombing/Explosion
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0,Unknown
2017-01-15,Khorasan Chapter of the Islamic State,70.621883,34.165506,0,Facility/Infrastructure Attack
2017-01-15,Khorasan Chapter of the Islamic State,70.463646,34.115677000000005,0.0,Hostage Taking (Kidnapping)
2017-01-15,Taliban,70.283333,34.2,7.0,Bombing/Explosion
2017-01-15,Taliban,69.91820799999999,33.336913,3.0,Bombing/Explosion
2017-01-15,Al-Shabaab,44.511845,2.71581,0.0,Bombing/Explosion
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Facility/Infrastructure Attack
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Facility/Infrastructure Attack
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Facility/Infrastructure Attack
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Facility/Infrastructure Attack
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Facility/Infrastructure Attack
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.780811,35.326122,5.0,Hostage Taking (Kidnapping)
2017-01-15,Boko Haram,13.627589000000002,10.890928,7.0,Armed Assault
