origin,destination,origin_country,destination_country,count
YSSY,YMML,AU,AU,2261
YMML,YSSY,AU,AU,2220
VABB,VIDP,IN,IN,1809
VIDP,VABB,IN,IN,1796
YBBN,YSSY,AU,AU,1428
YSSY,YBBN,AU,AU,1402
KLAX,KSFO,US,US,1302
VIDP,VOBL,IN,IN,1295
VOBL,VIDP,IN,IN,1260
KSFO,KLAX,US,US,1224
RJFF,RJTK,JP,JP,1206
KLAS,KU30,US,US,1191
KLAX,KLAS,US,US,1092
YMML,YBBN,AU,AU,1079
YBBN,YMML,AU,AU,1075
KLAX,KJFK,US,US,1053
SBRJ,SBSP,BR,BR,1042
VABB,VOBL,IN,IN,998
KORD,KLGA,US,US,968
KLGA,KORD,US,US,955
VOBL,VABB,IN,IN,951
KJFK,KLAX,US,US,928
CYUL,CYYZ,CA,CA,913
WMKK,WBKK,MY,MY,904
KLAS,KLAX,US,US,891
RJTT,RJFF,JP,JP,866
WBKK,WMKK,MY,MY,864
CYYZ,CYUL,CA,CA,842
NZAA,NZCH,NZ,NZ,836
CYYC,CYVR,CA,CA,834
KSEA,KLAX,US,US,832
VIDP,VECC,IN,IN,827
NZCH,NZAA,NZ,NZ,800
KPDX,KSEA,US,US,795
KLAX,KSEA,US,US,789
KSEA,KPDX,US,US,777
CYVR,CYYC,CA,CA,770
YBCG,YSSY,AU,AU,768
VECC,VIDP,IN,IN,749
KSEA,KSFO,US,US,748
KATL,KLGA,US,US,748
CYVR,CYYJ,CA,CA,743
KSJC,KLAX,US,US,731
KLAX,KSJC,US,US,724
ULLI,UUEE,RU,RU,723
KLGA,KATL,US,US,721
KSFO,KSEA,US,US,715
KDCA,KBOS,US,US,712
KBOS,KDCA,US,US,711
VOMM,VIDP,IN,IN,708
KDEN,KPHX,US,US,690
KLAX,KPHX,US,US,685
VIDP,VOMM,IN,IN,685
FAOR,FACT,ZA,ZA,676
KHOU,KDAL,US,US,671
ZGSZ,ZUCK,CN,CN,669
YPAD,YMML,AU,AU,663
KLGA,KBOS,US,US,661
KLAX,KORD,US,US,660
KSEA,PANC,US,US,657
KBOS,KLGA,US,US,648
KLAS,KSFO,US,US,646
YSCB,YSSY,AU,AU,645
KSFO,KLAS,US,US,645
EDDM,EDDT,DE,DE,645
YSSY,YSCB,AU,AU,643
SBSP,SBRJ,BR,BR,641
YMML,YPAD,AU,AU,641
EDDT,EDDM,DE,DE,640
KDFW,KORD,US,US,640
KORD,KDFW,US,US,639
KATL,KFLL,US,US,632
KMSP,KORD,US,US,630
CYYZ,CYVR,CA,CA,627
CYVR,CYYZ,CA,CA,627
KATL,KORD,US,US,622
KORD,KATL,US,US,622
KPHL,KBOS,US,US,620
RJOO,RJTK,JP,JP,620
KFLL,KATL,US,US,620
KORD,KDCA,US,US,614
KBOS,KPHL,US,US,614
PANC,KSEA,US,US,613
KLAX,KDFW,US,US,613
EDDF,EDDT,DE,DE,612
KDAL,KHOU,US,US,611
KDCA,KORD,US,US,610
LFPO,LFBO,FR,FR,610
KPHX,KLAX,US,US,609
KDEN,KLAX,US,US,606
KORD,KBOS,US,US,605
KBOS,KORD,US,US,597
PAEN,PANC,US,US,590
PANC,PAEN,US,US,584
VOMM,VABB,IN,IN,578
CYYC,CYYZ,CA,CA,574
KSFO,KSAN,US,US,574
VABB,VOMM,IN,IN,574
KATL,KDFW,US,US,574
KSAN,KSFO,US,US,569
LTAC,LTFJ,TR,TR,569
KPHX,KLAS,US,US,568
KATL,KTPA,US,US,566
EDDM,EDDH,DE,DE,566
LFBO,LFPO,FR,FR,566
KMIA,KATL,US,US,566
EDDH,EDDM,DE,DE,565
KTPA,KATL,US,US,562
KLAS,KPHX,US,US,557
K1G4,KLAS,US,US,556
KATL,KMIA,US,US,556
KORD,KLAX,US,US,549
CYYZ,CYYC,CA,CA,548
KJFK,KSFO,US,US,548
KSEA,KPHX,US,US,546
KBUR,KOAK,US,US,545
KOAK,KBUR,US,US,544
KSMF,KLAX,US,US,542
KIAH,KDFW,US,US,542
VECC,VOBL,IN,IN,541
KATL,KBWI,US,US,539
YSSY,YPAD,AU,AU,539
KSEA,KLAS,US,US,538
KBOS,KEWR,US,US,536
KSFO,KJFK,US,US,535
KBWI,KATL,US,US,534
KORD,KMSP,US,US,534
YBCG,YMML,AU,AU,534
YPPH,YMML,AU,AU,534
K61B,KU30,US,US,529
KEWR,KBOS,US,US,529
KSJC,KSAN,US,US,526
KSAN,KSJC,US,US,525
VABB,VECC,IN,IN,525
YMML,YPPH,AU,AU,524
KATL,KDCA,US,US,524
EDDT,EDDF,DE,DE,524
KDFW,KATL,US,US,523
KDFW,KIAH,US,US,523
KDCA,KATL,US,US,521
KPHX,KSEA,US,US,521
KSFO,KORD,US,US,520
KLGA,KMIA,US,US,520
KLAS,KSEA,US,US,520
EDDL,EDDM,DE,DE,519
EDDM,EDDL,DE,DE,519
KLAX,KSMF,US,US,518
KDEN,KLAS,US,US,518
VOBL,VECC,IN,IN,517
KLAX,KATL,US,US,517
FACT,FAOR,ZA,ZA,514
KMIA,KLGA,US,US,513
KDFW,KLAX,US,US,512
SBBR,SBSP,BR,BR,510
KDFW,KLGA,US,US,510
KDEN,KSEA,US,US,508
KDEN,KSFO,US,US,508
KATL,KPHL,US,US,508
ENGM,ENZV,NO,NO,506
KOAK,KLAS,US,US,505
SBSP,SBBR,BR,BR,505
YSSY,YBCG,AU,AU,505
KIAH,KORD,US,US,503
KORD,KSFO,US,US,503
KATL,KEWR,US,US,502
YMHB,YMML,AU,AU,501
YPAD,YSSY,AU,AU,501
LEPA,LEBL,ES,ES,498
KPHL,KATL,US,US,496
KEWR,KATL,US,US,496
KLAS,KBUR,US,US,493
LIRF,LIML,IT,IT,493
VECC,VABB,IN,IN,491
LEMD,LEPA,ES,ES,491
LEBL,LEMD,ES,ES,488
LIML,LIRF,IT,IT,487
KBUR,KLAS,US,US,486
VIDP,VAPO,IN,IN,484
CYYJ,CYVR,CA,CA,483
KLGA,KDFW,US,US,483
KLAS,KSNA,US,US,480
KORD,KIND,US,US,478
KDEN,KDFW,US,US,477
KPHX,KSAN,US,US,476
VOBL,VOMM,IN,IN,476
VAPO,VIDP,IN,IN,474
KSMF,KSAN,US,US,473
KEWR,KORD,US,US,470
KLAS,KOAK,US,US,470
YBCS,YBBN,AU,AU,470
KSNA,KSJC,US,US,470
KSJC,KSNA,US,US,468
KSFO,KEWR,US,US,465
KSEA,KSJC,US,US,463
KDFW,KPHX,US,US,462
KORD,KEWR,US,US,462
KPHX,KORD,US,US,461
ULLI,UUWW,RU,RU,460
KPDX,KLAX,US,US,459
KSNA,KLAS,US,US,458
KATL,KLAX,US,US,457
KLAX,KSAN,US,US,457
KSEA,KBOI,US,US,457
KSAN,KPHX,US,US,456
KLAX,KOAK,US,US,455
KEWR,KSFO,US,US,453
KSTL,KORD,US,US,450
KORD,KPHX,US,US,449
KATL,KBOS,US,US,449
KORD,KCMH,US,US,449
KBOS,KATL,US,US,446
KSJC,KSEA,US,US,445
KORD,KIAH,US,US,444
VOMM,VOBL,IN,IN,443
KDEN,KORD,US,US,440
KORD,KPHL,US,US,440
KRDU,KATL,US,US,440
KIND,KORD,US,US,439
KORD,KBNA,US,US,438
LEBL,LEPA,ES,ES,438
KORD,KSTL,US,US,437
CYOW,CYYZ,CA,CA,437
KSAN,KLAS,US,US,437
KLAX,KPDX,US,US,436
EDDK,EDDT,DE,DE,435
EDDT,EDDK,DE,DE,434
KBOI,KSEA,US,US,433
KCMH,KORD,US,US,433
KBNA,KORD,US,US,433
KATL,KRDU,US,US,433
KLAS,KSAN,US,US,431
KSAN,KSMF,US,US,431
KATL,KIAH,US,US,430
KFLL,KEWR,US,US,429
KLAX,KEWR,US,US,429
KOAK,KLAX,US,US,427
KLAX,KIAH,US,US,426
UUEE,ULLP,RU,RU,426
KDEN,KMSP,US,US,425
KBOS,KJFK,US,US,424
KDEN,KATL,US,US,424
RCKH,RCWA,TW,TW,423
KPHL,KORD,US,US,422
KLAS,KSJC,US,US,421
KSEA,KSFF,US,US,421
KPHX,KOAK,US,US,420
KORD,KSDF,US,US,419
RJTT,RJOO,JP,JP,419
KDFW,KLAS,US,US,419
KPDX,KSFO,US,US,418
YMML,YSCB,AU,AU,418
ENZV,ENGM,NO,NO,418
KSEA,KSMF,US,US,417
KDCA,KLGA,US,US,417
KLGA,KCLT,US,US,416
KSJC,KLAS,US,US,415
KIAH,KATL,US,US,413
YSCB,YMML,AU,AU,412
VOMM,VECC,IN,IN,410
KCLE,KORD,US,US,410
KCVG,KORD,US,US,409
KSEA,KORD,US,US,409
KORD,KMIA,US,US,408
KOAK,KPHX,US,US,408
KEWR,KFLL,US,US,408
RCQC,RCKH,TW,TW,406
KPHX,KDFW,US,US,405
KJFK,KBOS,US,US,405
EDDF,EDDH,DE,DE,404
KBWI,KBOS,US,US,402
KDEN,KIAH,US,US,402
KSKA,KSEA,US,US,402
KSMF,KSEA,US,US,400
KLGA,KDCA,US,US,400
EDDL,EDDT,DE,DE,399
KLAS,KDFW,US,US,398
KORD,KSEA,US,US,398
KMIA,KORD,US,US,398
ENGM,ENVA,NO,NO,397
LEMD,LEBL,ES,ES,396
KPHX,KBUR,US,US,396
KSEA,KSAN,US,US,394
KBUR,KPHX,US,US,394
KMSP,KPHX,US,US,392
KORD,KGRR,US,US,391
EDDT,EDDL,DE,DE,389
KGRR,KORD,US,US,389
KLAX,KBOS,US,US,388
KDFW,KSDF,US,US,387
PANC,KORD,US,US,387
KPDX,KSJC,US,US,379
CYUL,CYTZ,CA,CA,379
EDDS,EDDT,DE,DE,378
YSSY,YPPH,AU,AU,377
KLGA,KBNA,US,US,377
SBGR,SSJC,BR,BR,376
KOAK,KSAN,US,US,376
KBOS,KBWI,US,US,375
EDDK,EDDM,DE,DE,375
KFLL,KJFK,US,US,374
YPPH,YSSY,AU,AU,374
KMKE,KORD,US,US,374
KBNA,KLGA,US,US,373
EDDF,EDDM,DE,DE,372
KSAN,KOAK,US,US,371
KBUR,KSJC,US,US,371
EDDT,EDDS,DE,DE,370
KSAN,KSEA,US,US,369
KSAN,KLAX,US,US,369
KLGA,KRDU,US,US,368
KMIA,KDFW,US,US,368
KSDF,KORD,US,US,368
KFLL,KLGA,US,US,368
KSJC,KBUR,US,US,367
KATL,KBNA,US,US,366
KSFO,KPDX,US,US,365
KATL,KLAS,US,US,365
KORD,KMSN,US,US,365
CYTZ,CYUL,CA,CA,365
KRDU,KLGA,US,US,365
KEWR,KCLT,US,US,364
KLGA,KFLL,US,US,363
LTFJ,LTAC,TR,TR,362
SBGR,SBBR,BR,BR,362
KMSN,KORD,US,US,362
KPHX,KSFO,US,US,361
KCLT,KATL,US,US,359
KATL,KIAD,US,US,359
KSFO,KSNA,US,US,357
KEWR,KLAX,US,US,357
EDDM,EDDK,DE,DE,354
KORD,KLAS,US,US,354
KLAS,KATL,US,US,354
KLAS,KORD,US,US,353
KAUS,KDAL,US,US,353
YMML,YBCG,AU,AU,353
KDEN,KSAN,US,US,352
KIAH,KLAX,US,US,352
VECC,VOMM,IN,IN,350
SBRJ,SBBR,BR,BR,349
KATL,KHOU,US,US,348
CYYC,CYXE,CA,CA,348
KMIA,KIAH,US,US,347
KDFW,KSFO,US,US,347
KFLL,KBWI,US,US,347
CO80,KPUB,US,US,346
KSNA,KSFO,US,US,346
KMIA,KJFK,US,US,344
KSAT,KDFW,US,US,344
KSFO,KPHX,US,US,344
EDDH,EDDF,DE,DE,343
RJOA,RJTK,JP,JP,343
KPUB,CO80,US,US,343
KSEA,KSNA,US,US,342
KABQ,KPHX,US,US,342
RCSS,RCWA,TW,TW,341
KCLT,KEWR,US,US,340
KSDF,KDFW,US,US,340
KSTL,KATL,US,US,340
LEPA,LEMD,ES,ES,340
KBNA,KATL,US,US,340
KPHX,KSNA,US,US,339
KJFK,KFLL,US,US,338
EDDM,EDDF,DE,DE,338
KPHX,KMSP,US,US,337
KSNA,KPHX,US,US,337
KATL,KMDW,US,US,334
KCLT,KLGA,US,US,334
KBOS,KSFO,US,US,332
KIAH,KEWR,US,US,332
KIAH,KLGA,US,US,332
KORD,KRDU,US,US,332
KFLL,KBOS,US,US,330
KATL,KIND,US,US,328
EKCH,EKYT,DK,DK,328
KSFO,KBOS,US,US,327
KSEA,KOAK,US,US,327
KSFO,KDFW,US,US,326
KDEN,KSTL,US,US,326
KDFW,KMIA,US,US,326
KPHX,KSJC,US,US,325
KMIA,KEWR,US,US,325
KBWI,KFLL,US,US,324
CYXE,CYYC,CA,CA,324
KSJC,KPHX,US,US,324
KBOS,KCLT,US,US,324
KLGA,KIAH,US,US,324
KIND,KATL,US,US,324
KMDW,KATL,US,US,324
ULLI,UUDD,RU,RU,323
KJFK,KMIA,US,US,323
KRDU,KORD,US,US,323
KSNA,KSEA,US,US,322
KORD,KCVG,US,US,322
KBOS,KLAX,US,US,322
KBOS,KRDU,US,US,321
KATL,KSDF,US,US,321
EKYT,EKCH,DK,DK,320
KEWR,KMIA,US,US,320
SBBR,SBGR,BR,BR,320
KMSP,KATL,US,US,320
KIAH,KMIA,US,US,319
KRDU,KBOS,US,US,318
KMCI,KORD,US,US,317
KORD,KMCI,US,US,316
KATL,KSTL,US,US,315
KDFW,KSAT,US,US,315
KTPA,KPHL,US,US,315
KATL,KPHX,US,US,315
KMSP,KMDW,US,US,314
WMKK,WMKJ,MY,MY,313
K1G4,K61B,US,US,312
ENVA,ENGM,NO,NO,312
KBWI,KCLT,US,US,312
KPHX,KABQ,US,US,312
KEWR,KRDU,US,US,311
SBCO,SBGR,BR,BR,311
KIAD,KATL,US,US,310
KCLE,KLGA,US,US,310
KPHL,KSDF,US,US,310
KPHL,KCLT,US,US,309
YMML,YMHB,AU,AU,309
KCLT,KORD,US,US,308
KLAX,KIAD,US,US,308
KONT,KPHX,US,US,308
KSMF,KLAS,US,US,307
KSNA,KOAK,US,US,306
KATL,KMCI,US,US,306
KDFW,KEWR,US,US,306
KORD,KDAY,US,US,303
KPHL,KTPA,US,US,303
KHOU,KATL,US,US,302
KDEN,KMCI,US,US,302
KDFW,KPHL,US,US,302
UUEE,ULLI,RU,RU,302
KSTL,KLGA,US,US,301
VIDP,VAJJ,IN,IN,301
KAUS,KATL,US,US,301
KLGA,KSTL,US,US,300
KEWR,KIAH,US,US,300
KDAY,KORD,US,US,300
KIAH,KSFO,US,US,300
KSDF,KATL,US,US,299
KOAK,KSEA,US,US,298
KHND,KU30,US,US,298
KSJC,KPDX,US,US,298
KATL,KMSP,US,US,298
KBOS,KFLL,US,US,298
KPHL,KDFW,US,US,297
YBBN,YBCS,AU,AU,296
KIAH,KPHX,US,US,296
VAPO,VOBL,IN,IN,296
KATL,KDAL,US,US,295
KRDU,KEWR,US,US,295
RJBB,RJTK,JP,JP,295
RJTK,RJFF,JP,JP,294
KOAK,KSNA,US,US,294
NZWN,NZCH,NZ,NZ,294
LFBO,LFPG,FR,FR,293
KAUS,KDFW,US,US,293
KMSP,KDFW,US,US,292
KDFW,KSEA,US,US,292
KEWR,KDFW,US,US,290
KSAT,KDAL,US,US,290
KPHX,KATL,US,US,290
LFPG,LFBO,FR,FR,289
WMKJ,WMSA,MY,MY,288
KSMF,KPHX,US,US,288
KDAL,KATL,US,US,288
KBUF,KJFK,US,US,288
KORD,KTPA,US,US,287
KBUR,KSFO,US,US,287
KORD,KFLL,US,US,287
KPHX,KSMF,US,US,286
EFOU,EFHK,FI,FI,285
KSFO,KIAH,US,US,285
KOMA,KORD,US,US,284
ESGG,ESSA,SE,SE,284
FALA,FACT,ZA,ZA,283
KSFO,KBUR,US,US,282
KFLL,KORD,US,US,282
KTPA,KORD,US,US,281
KATL,KJFK,US,US,280
KJFK,KBUF,US,US,280
KMSP,KEWR,US,US,278
KDEN,KLGA,US,US,278
KTPA,KEWR,US,US,278
LTAC,LTBW,TR,TR,278
KDEN,KCOS,US,US,276
KBWI,KTPA,US,US,276
KAUS,KIAH,US,US,276
KPDX,KOAK,US,US,276
KEWR,KTPA,US,US,276
KDFW,KMSP,US,US,276
KATL,KCMH,US,US,275
KPDX,KPHX,US,US,275
YSCB,YBBN,AU,AU,275
YBCS,YSSY,AU,AU,275
FACT,FALA,ZA,ZA,275
YBBN,YPAD,AU,AU,275
KDFW,KTUL,US,US,275
KORD,KSAN,US,US,274
KMCI,KATL,US,US,274
KORD,KOMA,US,US,273
KJFK,KATL,US,US,273
EFHK,EFOU,FI,FI,272
KCLT,KBOS,US,US,270
KCLT,KBWI,US,US,270
KMSP,KLAS,US,US,270
KLGA,KCMH,US,US,270
KCLT,KPHL,US,US,270
KMDW,KMSP,US,US,270
CYOW,CYTZ,CA,CA,269
KFLL,KPHL,US,US,269
KDEN,KU42,US,US,269
LSZH,LSGG,CH,CH,269
KDCA,KMIA,US,US,269
KDFW,KDCA,US,US,268
WMKJ,WMKK,MY,MY,268
KBNA,KDCA,US,US,268
RJTT,RJOA,JP,JP,267
KDCA,KBNA,US,US,267
KEWR,KSDF,US,US,267
KSEA,KDFW,US,US,267
KSAN,KORD,US,US,267
KRDU,KCLT,US,US,267
KDEN,KPDX,US,US,266
KPHX,KIAH,US,US,265
YBBN,YSCB,AU,AU,265
SBSP,SSJC,BR,BR,264
ESSA,ESGG,SE,SE,264
KSFO,KIAD,US,US,264
KIAH,KLAS,US,US,264
LSGG,LSZH,CH,CH,263
KMIA,KDCA,US,US,263
KLAS,KSMF,US,US,263
KTUL,KDFW,US,US,262
FAGC,FACT,ZA,ZA,262
KLAS,KIAH,US,US,261
KDEN,KSJC,US,US,261
YMHB,YSSY,AU,AU,261
YPPH,YBBN,AU,AU,261
KPHX,KPHL,US,US,261
KPSP,KSFO,US,US,260
KTPA,KBWI,US,US,260
KATL,KSFO,US,US,260
KCLE,KATL,US,US,259
VAJJ,VIDP,IN,IN,259
KDAL,KSAT,US,US,258
KEWR,KIND,US,US,258
KCMH,KLGA,US,US,257
YMML,YCBG,AU,AU,257
KRDU,KPHL,US,US,256
KRDU,KDCA,US,US,256
KSAT,KIAH,US,US,256
KSFO,KPSP,US,US,256
KFLL,KDFW,US,US,256
KPHL,KRDU,US,US,256
KIAD,KCLT,US,US,255
KAUS,KLAX,US,US,255
KDCA,KRDU,US,US,255
CYVR,CYCD,CA,CA,255
KDFW,KSAN,US,US,255
KJFK,KRDU,US,US,255
UUWW,ULLP,RU,RU,254
KIAH,KSAT,US,US,254
KDEN,KSNA,US,US,252
KMIA,KPHL,US,US,252
KRDU,KBWI,US,US,252
WMSA,WMKJ,MY,MY,251
KMSP,KIAH,US,US,251
KPHX,KRIR,US,US,251
KLAX,KMSP,US,US,250
KSAN,KDFW,US,US,250
KORD,KXNA,US,US,250
YBBN,YPPH,AU,AU,250
KRDU,KJFK,US,US,250
KCMH,KATL,US,US,249
KTPA,KJFK,US,US,249
KXNA,KORD,US,US,249
KDFW,KABQ,US,US,249
KDCA,KDFW,US,US,248
KTPA,KBOS,US,US,248
KBWI,KRDU,US,US,248
KDEN,KDAL,US,US,248
KSDF,KEWR,US,US,247
SBCO,SBSP,BR,BR,246
KXNA,KDFW,US,US,246
KDCA,KCLT,US,US,245
KMSP,KLAX,US,US,245
OERK,OEDF,SA,SA,245
KIND,KEWR,US,US,245
KSFO,KATL,US,US,244
KDFW,KXNA,US,US,244
KSEA,KMSP,US,US,244
YPAD,YBBN,AU,AU,244
EDDS,EDDH,DE,DE,243
KBOS,KTPA,US,US,243
KJFK,KTPA,US,US,243
KPHL,KFLL,US,US,242
KONT,KSDF,US,US,242
KLAX,KMIA,US,US,241
KDFW,KTPA,US,US,241
RJTT,RJBB,JP,JP,241
KCLT,KIAD,US,US,241
KDEN,KSMF,US,US,240
KPHL,KMIA,US,US,240
KSEA,KJFK,US,US,240
NZCH,NZWN,NZ,NZ,240
KDFW,KFLL,US,US,240
KPHX,KJFK,US,US,239
KPDX,KLAS,US,US,239
KDFW,KSNA,US,US,239
KORD,KBWI,US,US,239
KCVG,KATL,US,US,239
KTPA,KDFW,US,US,239
KSAT,KATL,US,US,239
KGRB,KORD,US,US,237
KBOS,KDFW,US,US,237
KATL,KORL,US,US,237
KMIA,KTPA,US,US,237
KDEN,KBNA,US,US,237
KORD,KGRB,US,US,236
KSNA,KDFW,US,US,236
KJFK,KPHX,US,US,236
KDFW,KDEN,US,US,235
KSEA,KDEN,US,US,235
LIMC,LIRF,IT,IT,235
KAUS,KPHX,US,US,235
KBOS,KMIA,US,US,234
KATL,KSAT,US,US,234
KSEA,KATL,US,US,234
KJFK,KCLT,US,US,234
KLAX,KABQ,US,US,234
EGPH,EGLL,GB,GB,233
KLAX,KU42,US,US,233
LEMD,LELL,ES,ES,233
KDCA,KSTL,US,US,233
KTPA,KFLL,US,US,232
KLAS,KMSP,US,US,232
KEWR,KMSP,US,US,232
KSAT,KPHX,US,US,232
SBBR,SBRJ,BR,BR,231
RJTT,RJOM,JP,JP,231
KMSP,KSEA,US,US,231
KCLT,KBNA,US,US,231
KMIA,KBOS,US,US,231
KBNA,KDFW,US,US,231
EDDH,EDDS,DE,DE,231
KABQ,KDFW,US,US,231
KBWI,KORD,US,US,231
KSDF,KPHL,US,US,230
KSMF,KBUR,US,US,230
KJFK,KORD,US,US,229
KONT,KDFW,US,US,229
KDFW,KBNA,US,US,228
KDAL,KMDW,US,US,228
KTPA,KMIA,US,US,228
KLAS,KJFK,US,US,228
KLAX,KDAL,US,US,227
KMKE,KATL,US,US,226
KPHX,KPDX,US,US,226
KATL,KSEA,US,US,226
EDDV,EDDM,DE,DE,226
KBWI,KBNA,US,US,226
KSTL,KDCA,US,US,226
KORD,KROC,US,US,225
KJFK,KLAS,US,US,225
KMSP,KSTL,US,US,225
KHWO,KOPF,US,US,225
KORD,KATW,US,US,225
KFLL,KTPA,US,US,225
KIAD,KEWR,US,US,225
KMSP,KLGA,US,US,225
KPHL,KPHX,US,US,224
KJFK,KSEA,US,US,224
KEWR,KIAD,US,US,223
KLAX,KSAT,US,US,223
KMSP,KDCA,US,US,223
KSMF,KPDX,US,US,222
KDEN,KOMA,US,US,222
KPDX,KSMF,US,US,222
KMCO,KEWR,US,US,221
KATW,KORD,US,US,220
KDEN,KIAD,US,US,220
EDDM,EDDV,DE,DE,220
KDFW,KBOS,US,US,220
KCLT,KRDU,US,US,219
KROC,KORD,US,US,219
KDEN,KIND,US,US,218
KATL,KCAE,US,US,218
KMSP,KSFO,US,US,218
KGYR,1AZ0,US,US,218
KBNA,KBOS,US,US,217
KMDW,KDAL,US,US,217
KCLT,KDFW,US,US,217
KBNA,KBWI,US,US,217
KBNA,KPHL,US,US,217
EGLL,EGPG,GB,GB,217
CYCD,CYVR,CA,CA,216
KPDX,KBOI,US,US,216
KBOS,KBNA,US,US,215
KDEN,KABQ,US,US,215
KORD,KFTG,US,US,215
ESMS,ESSB,SE,SE,215
KMSP,KBOS,US,US,214
KMSP,KPHL,US,US,214
KORD,KBKL,US,US,214
KLGA,KBKL,US,US,214
KCLT,KMIA,US,US,214
KIAH,KDCA,US,US,213
KPHX,KU42,US,US,213
KVNY,KLAS,US,US,213
KDEN,KBWI,US,US,213
KCAE,KATL,US,US,213
KABQ,KLAX,US,US,212
KOAK,KRIR,US,US,212
KGEG,KSEA,US,US,212
KDAL,KLAS,US,US,211
KCLE,KEWR,US,US,211
KONT,KOAK,US,US,211
KIAH,KMSP,US,US,210
ESSB,ESMS,SE,SE,210
CYYJ,CYYC,CA,CA,210
KLAX,KDEN,US,US,210
YPAD,YPPH,AU,AU,209
YSDU,YSSY,AU,AU,209
YSSY,YSWG,AU,AU,209
KTEB,KBED,US,US,209
KLAX,KPHL,US,US,209
KMIA,KLAX,US,US,209
KMSP,KFTG,US,US,209
KTPA,KLGA,US,US,208
KPHX,KEWR,US,US,208
YSWG,YSSY,AU,AU,208
KPHL,KBNA,US,US,208
KOAK,KPDX,US,US,207
KLAS,KLGB,US,US,207
KDEN,KMDW,US,US,207
KORD,KJFK,US,US,207
KLAS,KVNY,US,US,207
KIAH,KFLL,US,US,207
KATL,FD83,US,US,206
KMCI,KMDW,US,US,206
KPHX,KDAL,US,US,206
KNSE,KGZH,US,US,206
YWLM,YBBN,AU,AU,206
KOAK,KLGB,US,US,206
KMDW,KMCI,US,US,206
KDAB,KXFL,US,US,206
KHSV,KATL,US,US,205
KEWR,KPHX,US,US,205
KDCA,KIAH,US,US,205
ENZV,ENBR,NO,NO,205
KPHX,CO12,US,US,204
KPHX,KMDW,US,US,204
KDEN,KPHL,US,US,204
KLGA,KTPA,US,US,204
EDDL,EDDH,DE,DE,203
KCLT,KDCA,US,US,203
KLGB,KLAS,US,US,203
KEWR,KLAS,US,US,202
LIRF,LIBD,IT,IT,202
KCLT,KIAH,US,US,202
YPPH,YPAD,AU,AU,202
LIRF,LIMC,IT,IT,202
KSFO,KMSP,US,US,202
ESSA,ESMS,SE,SE,202
ESMS,ESSA,SE,SE,201
YSSY,YSDU,AU,AU,201
KTEB,KIAD,US,US,201
LEIB,LEBL,ES,ES,201
KAUS,KHOU,US,US,201
UUWW,ULLI,RU,RU,201
YSSY,YMAY,AU,AU,200
KDFW,KRIR,US,US,200
KORD,KMDT,US,US,200
EDDH,EDDL,DE,DE,200
KLAS,KDAL,US,US,200
NZTG,NZAA,NZ,NZ,200
KTUL,KORD,US,US,200
KLGA,KMSP,US,US,200
KSAT,KHOU,US,US,199
KDAL,KSTL,US,US,199
YMAY,YSSY,AU,AU,199
KDAL,KPHX,US,US,199
KCVG,KEWR,US,US,199
LIBD,LIRF,IT,IT,198
KMDW,KBWI,US,US,198
RJTK,RJOO,JP,JP,198
KEWR,KDCA,US,US,198
KDCA,KJFK,US,US,198
ENGM,ENBO,NO,NO,198
KMDW,KPHX,US,US,198
SSJC,SBGR,BR,BR,197
KA39,KIWA,US,US,197
KBOS,KHYA,US,US,197
KJFK,KDCA,US,US,197
KSTL,KDAL,US,US,197
SBKP,SBBR,BR,BR,197
KPHX,KDEN,US,US,197
KLAX,KBNA,US,US,197
KBOS,KMSP,US,US,196
LEBL,LEIB,ES,ES,196
KLAS,KEWR,US,US,196
SBBR,SBKP,BR,BR,196
KHOU,KBWI,US,US,195
KHOU,KSAT,US,US,195
EDDH,EDDK,DE,DE,195
KFLL,KDCA,US,US,195
KPHX,KSAT,US,US,194
KBNA,KMDW,US,US,194
KBUR,KSMF,US,US,194
KORD,KMKE,US,US,194
KIAH,KTUL,US,US,194
KPHL,KMSP,US,US,194
KDCA,KTPA,US,US,193
KTUL,KIAH,US,US,193
KATL,KCLT,US,US,193
KLAS,KPDX,US,US,193
KMDW,KBNA,US,US,193
EDDK,EDDH,DE,DE,193
KCLT,KTPA,US,US,193
KORD,KTUL,US,US,193
EGCC,EGLL,GB,GB,192
KTPA,KIAH,US,US,192
KSEA,60CO,US,US,192
KIAD,KTEB,US,US,192
KPHX,KSDF,US,US,192
KDEN,KSAT,US,US,192
KPDX,KSAN,US,US,192
KDCA,KMSP,US,US,192
KHOU,KDFW,US,US,191
NZWN,NZAA,NZ,NZ,191
KSTL,KDFW,US,US,191
KTPA,KDCA,US,US,191
KPHL,KSTL,US,US,191
KBOI,KPDX,US,US,191
KCVG,KDFW,US,US,191
RJFF,RJTT,JP,JP,191
KLGB,KOAK,US,US,191
KIAD,KSFO,US,US,191
KMCO,KPHL,US,US,190
KBNA,KLAX,US,US,190
KDEN,KBOI,US,US,190
KAUS,KORD,US,US,190
KDAL,KBWI,US,US,189
ESGG,ESSB,SE,SE,189
KBNA,KEWR,US,US,189
KATL,KCVG,US,US,189
KDAL,KLAX,US,US,189
KDFW,KMCI,US,US,189
KCLT,KJFK,US,US,189
KDFW,KSTL,US,US,189
KDCA,KEWR,US,US,189
PANC,KSDF,US,US,188
KCVG,KPHL,US,US,188
