origin,destination,origin_country,destination_country,count
KFDK,61VA,US,US,8
SBMT,SBRJ,BR,BR,8
K7F7,KGKY,US,US,8
GA77,KRYY,US,US,8
KE16,KCCR,US,US,8
KMMU,KAGC,US,US,8
KGWW,KPGV,US,US,8
KE16,KHWD,US,US,8
KDCA,22MD,US,US,8
OI58,KEWR,US,US,8
KGRR,FD83,US,US,8
KIWA,KE77,US,US,8
KMIA,KPIE,US,US,8
ESMS,ESML,SE,SE,8
KDWH,TX05,US,US,8
KDWH,XS09,US,US,8
SBMT,SDET,BR,BR,8
KFTG,KAKH,US,US,8
KFNT,KPIE,US,US,8
KIWA,KSCK,US,US,8
KFNT,KCLT,US,US,8
KIWA,KVNY,US,US,8
OI58,KPHL,US,US,8
KFTG,KBKL,US,US,8
KDCA,2MD1,US,US,8
KIWS,K50R,US,US,8
KDAL,KDWH,US,US,8
TE77,KSGR,US,US,8
KIAH,KGYH,US,US,8
KFAT,34CO,US,US,8
K6G4,KOSU,US,US,8
KECP,K33J,US,US,8
SBKP,SJTC,BR,BR,8
KJFK,3VA4,US,US,8
KIAH,KBFI,US,US,8
KFTG,KPUB,US,US,8
KIWS,KSGR,US,US,8
KIWS,KAXH,US,US,8
KDCA,3NK5,US,US,8
KFTG,KDTW,US,US,8
KIWS,KEFD,US,US,8
KDCA,49OH,US,US,8
KIAH,KRYN,US,US,8
KDTS,KNPA,US,US,8
KIAH,KMWC,US,US,8
20AZ,KSDL,US,US,8
KIWS,TE71,US,US,8
KE67,KIWA,US,US,8
KDFW,SC32,US,US,8
KLUK,5OI0,US,US,8
KFXE,KIAH,US,US,8
KLUK,KHEF,US,US,8
KHOU,KT54,US,US,8
KDFW,KSEZ,US,US,8
IL57,KATL,US,US,8
1PN0,PA43,US,US,8
3OR8,K6K5,US,US,8
KDFW,3KY4,US,US,8
KADS,5XS0,US,US,8
KHPN,KLAX,US,US,8
LPPR,LPMA,PT,PT,8
KADS,KIWS,US,US,8
VA83,KROA,US,US,8
KCUB,KRDU,US,US,8
KLVN,KFCM,US,US,8
11WA,KMSP,US,US,8
KLGA,KX14,US,US,8
KHPN,KIND,US,US,8
KHIO,KIWA,US,US,8
KEWR,3NK5,US,US,8
KHPN,KDET,US,US,8
KDEN,KLGB,US,US,8
RKSW,RKSS,KR,KR,8
KLOM,KLNS,US,US,8
KADS,86TE,US,US,8
KHND,KGEU,US,US,8
RJFR,RJTK,JP,JP,8
KHPN,KGRR,US,US,8
KHPN,KHFD,US,US,8
KHPN,KILG,US,US,8
KDEN,KCBF,US,US,8
KMYF,58CL,US,US,8
KFFZ,4AZ0,US,US,8
KHOU,21XS,US,US,8
KGAI,KLNS,US,US,8
KLNS,KMQS,US,US,8
KDFW,4GE2,US,US,8
KLAX,KHPN,US,US,8
EGPH,EGTU,GB,GB,8
KGKY,KAFW,US,US,8
KLEB,VT55,US,US,8
KDEN,K9V7,US,US,8
KADS,KSAF,US,US,8
KDEN,KONT,US,US,8
KLGA,KLUK,US,US,8
KHOU,KPHL,US,US,8
NC22,KIGX,US,US,8
MT54,KU42,US,US,8
KLUK,KAPA,US,US,8
14NE,KOMA,US,US,8
KCVG,FL97,US,US,8
KHOU,KSNA,US,US,8
KMYF,KGYR,US,US,8
KHOU,24FL,US,US,8
KGAI,KTEB,US,US,8
KGEU,KHND,US,US,8
KLNS,KTHV,US,US,8
FD86,K1J6,US,US,8
KGKY,4XS1,US,US,8
KHOU,3PS9,US,US,8
12WA,KMSP,US,US,8
KEWR,1FD4,US,US,8
3VA3,2VG7,US,US,8
KMYF,KFUL,US,US,8
MT54,KMSP,US,US,8
KHND,K3L2,US,US,8
KGEG,KVUO,US,US,8
KCVG,FL57,US,US,8
KMSP,SC08,US,US,8
KLGB,KWHP,US,US,8
KLGB,KL70,US,US,8
KMWC,KETB,US,US,8
KDEN,KGXY,US,US,8
NC71,KIGX,US,US,8
MY66,MN87,US,US,8
KADS,KPDK,US,US,8
SDIH,SBSP,BR,BR,8
KFWA,KPIE,US,US,8
KHND,KSJC,US,US,8
KLOU,59KY,US,US,8
3NK5,8FA4,US,US,8
KFLL,9MI2,US,US,8
KLGB,KRAL,US,US,8
KCVG,KIND,US,US,8
EGSX,EGTR,GB,GB,8
KGEG,60CO,US,US,8
II29,KIND,US,US,8
KHPN,CT51,US,US,8
KEWR,89OI,US,US,8
KMWC,KMSN,US,US,8
FL47,KLEE,US,US,8
KHND,KWHP,US,US,8
KHND,KU77,US,US,8
KLGB,KHND,US,US,8
KHND,KU42,US,US,8
KLGB,KL35,US,US,8
KALO,3IA1,US,US,8
KHOU,KU42,US,US,8
NJ64,KPNE,US,US,8
EGTK,EGLF,GB,GB,8
TN79,KTYS,US,US,8
RKSS,RKSG,KR,KR,8
KGCM,KTUL,US,US,8
3TX6,KFTW,US,US,8
LPMA,LPPT,PT,PT,8
KLOM,KPNE,US,US,8
KMVY,KUUU,US,US,8
FD48,KCRG,US,US,8
KCVG,KPGD,US,US,8
TN79,KLZU,US,US,8
KCVG,34CO,US,US,8
KLOM,KPHL,US,US,8
KFCM,KCFE,US,US,8
KDFW,KMRY,US,US,8
KCVG,6FD7,US,US,8
KHPN,KBLM,US,US,8
KLOT,89LL,US,US,8
IL38,KJVL,US,US,8
12AZ,KDVT,US,US,8
KLCK,KFLL,US,US,8
KADS,6TA7,US,US,8
KFXE,FL57,US,US,8
KDFW,AL69,US,US,8
KHPN,KBUF,US,US,8
KDFW,KNRQ,US,US,8
EGTK,EGLC,GB,GB,8
KMSP,KUZA,US,US,8
KHPN,KCGF,US,US,8
II07,KIND,US,US,8
KHEF,VG07,US,US,8
KLNK,KLAS,US,US,8
KHMT,KF70,US,US,8
KLGA,0NC7,US,US,8
SC86,KPDK,US,US,8
KCWA,KMWC,US,US,8
KHKY,KRDU,US,US,8
NC03,KPIE,US,US,8
NC03,KPHL,US,US,8
KMYF,KNKX,US,US,8
KLSV,KVGT,US,US,8
KDEN,KUTA,US,US,8
KLNC,KRBD,US,US,8
NK43,KFLL,US,US,8
KMTN,KCLT,US,US,8
22CO,KMSP,US,US,8
RI20,KBOS,US,US,8
NK43,KDTW,US,US,8
KLNK,KDEN,US,US,8
IS33,KCPS,US,US,8
EGPF,EGPD,GB,GB,8
KDFW,KD54,US,US,8
KGEG,KYKM,US,US,8
KMTN,KLNS,US,US,8
KMYF,KPOC,US,US,8
3CA9,KRHV,US,US,8
FAOR,FALA,ZA,ZA,8
KLNR,KC29,US,US,8
KLGA,FD20,US,US,8
KHOU,KGKY,US,US,8
KEWB,KMVY,US,US,8
4WA9,KPAE,US,US,8
EGSS,EGNX,GB,GB,8
KDFW,16FL,US,US,8
KLUD,KDTO,US,US,8
KHHR,KCNO,US,US,8
EGPF,EGHI,GB,GB,8
40XS,KHYI,US,US,8
KGKY,KJWY,US,US,8
KDFW,KX04,US,US,8
EGSS,EGLF,GB,GB,8
KHIO,KSLE,US,US,8
FL47,01FL,US,US,8
KEWB,K1B9,US,US,8
KHOU,KCLL,US,US,8
KLNK,KSWT,US,US,8
RJTT,RJOY,JP,JP,8
KLNS,KFWQ,US,US,8
3PS4,7PS7,US,US,8
KLGA,89OI,US,US,8
KLGA,6WI2,US,US,8
UUDD,USSS,RU,RU,8
KHPN,KSDL,US,US,8
TE13,K5C1,US,US,8
KHPN,KSDF,US,US,8
KLWM,KHPN,US,US,8
KGEU,26AZ,US,US,8
KCTJ,KPDK,US,US,8
KLGA,71NC,US,US,8
NC03,KDFW,US,US,8
41AZ,KSDL,US,US,8
KADS,KFTY,US,US,8
21OI,KI69,US,US,8
KLGA,71MI,US,US,8
KHHR,KAJO,US,US,8
UUDD,URWA,RU,RU,8
LFBD,LFMO,FR,FR,7
KMHR,60CO,US,US,7
KC15,KCLT,US,US,7
KDFW,KDTS,US,US,7
NE37,KMLE,US,US,7
KPAE,KSEA,US,US,7
KDTS,KPDK,US,US,7
KCLT,NR02,US,US,7
KDFW,KDAL,US,US,7
KRDU,9NR8,US,US,7
KIXD,KK81,US,US,7
KBWI,KPWK,US,US,7
EPBC,EPPO,PL,PL,7
KGEU,18AZ,US,US,7
KSPG,KFMY,US,US,7
KCDW,KRDU,US,US,7
YLEC,YPAD,AU,AU,7
KFTW,99XS,US,US,7
KBLI,4WA4,US,US,7
EGSX,EGGW,GB,GB,7
KBWI,KTHV,US,US,7
KLGA,7NK1,US,US,7
