name,source,genre,year_from,year_to,rating,score,rank,popularity,members
Panty & Stocking with Garterbelt,Original,"['Action', 'Comedy', 'Parody', 'Supernatural', 'Ecchi']",2010,2010,R,7.77,959.0,383.0,224495.0
Okawari-Boy Starzan-S,Original,"['Action', 'Sci-Fi', 'Adventure']",1984,1984,G,6.82,12365.0,11597.0,252.0
Senkou no Night Raid Specials,Original,"['Action', 'Historical', 'Military', 'Super Power']",2010,2010,R,6.95,3850.0,5567.0,4329.0
Alice SOS,Original,['Adventure'],1998,1999,G,6.15,7216.0,8607.0,1130.0
Domo TV,Original,['Comedy'],2008,,G,6.41,6145.0,8731.0,1055.0
Shounen Ashibe (TV),4-koma manga,"['Comedy', 'Slice of Life']",1991,1991,G,5.97,7801.0,10858.0,361.0
Shounen Ashibe 2,4-koma manga,"['Comedy', 'Slice of Life']",1992,1993,G,5.38,12913.0,11590.0,251.0
Taimanin Asagi Special,Visual novel,"['Action', 'Demons', 'Hentai', 'Martial Arts', 'Supernatural']",2009,,Rx,6.46,nan,6119.0,3431.0
Gundam Neo Experience 0087: Green Divers,Unknown,"['Adventure', 'Space', 'Mecha']",2001,,PG-13,6.53,5662.0,6968.0,2376.0
Senkou no Night Raid: Yogen,Original,"['Action', 'Historical', 'Military', 'Super Power']",2010,,R,6.36,6392.0,6258.0,3224.0
Kore wa Zombie Desu ka?,Light novel,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Magic', 'Supernatural']",2011,2011,R,7.56,1487.0,140.0,417092.0
Oishinbo: Nichibei Kome Sensou,Manga,"['Comedy', 'Seinen', 'Slice of Life']",1993,,PG-13,6.12,7345.0,10963.0,343.0
"Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!",Manga,"['Comedy', 'Seinen', 'Slice of Life']",1992,,PG-13,6.17,7166.0,11175.0,309.0
Chouriki Robo Galatt,Unknown,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",1984,1985,PG-13,6.28,10663.0,11111.0,319.0
Nichijou: Nichijou no 0-wa,Manga,"['Slice of Life', 'Comedy', 'School', 'Shounen']",2011,,PG-13,7.4,2070.0,1636.0,51394.0
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",Visual novel,"['Drama', 'Ecchi', 'Harem', 'Romance']",2010,2010,R+,6.54,5648.0,313.0,258422.0
Koe de Oshigoto! The Animation,Manga,"['Comedy', 'Ecchi', 'Seinen']",2010,2011,R+,7.03,3558.0,1269.0,72677.0
Dolphin Ouji,Unknown,"['Action', 'Adventure', 'Kids', 'Sci-Fi']",1965,1965,G,5.41,10773.0,12044.0,209.0
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Original,"['Action', 'Mecha', 'Military', 'Sci-Fi']",2012,,R,7.53,1570.0,790.0,122007.0
Majo demo Steady,Unknown,"['Comedy', 'Magic', 'Romance', 'Ecchi']",1986,,R+,5.45,9027.0,10584.0,410.0
Nippon-ichi no Otoko no Tamashii,Unknown,"['Comedy', 'Romance']",1999,1999,R+,6.25,6848.0,9693.0,638.0
Nippon-ichi no Otoko no Tamashii 2,Unknown,"['Comedy', 'Romance']",1999,1999,R+,6.4,12263.0,10995.0,339.0
Yume-iro Pâtissière: Mune Kyun Tropical Island!,Manga,"['Kids', 'School', 'Shoujo']",2010,,G,7.27,2604.0,4462.0,7567.0
Natsufuku no Shoujo-tachi,Unknown,"['Drama', 'Historical']",1988,,PG-13,6.13,7304.0,9920.0,569.0
Ganbare! Marine Kid,Unknown,"['Action', 'Adventure', 'Sci-Fi', 'Kids']",1966,1966,PG,5.26,10940.0,11695.0,239.0
Circuit Angel: Ketsui no Starting Grid,Original,"['Action', 'Sports']",1987,,PG-13,5.59,8734.0,9572.0,676.0
Kaitei Shounen Marine,Unknown,"['Action', 'Adventure', 'Kids', 'Sci-Fi']",1969,1971,PG,6.34,6475.0,10871.0,358.0
Saru Getchu: On Air 2nd,Game,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Romance', 'Shounen']",2006,2007,PG,6.44,6036.0,10652.0,397.0
Tales of Symphonia The Animation: Kaette Kita Kratos-sensei no Private Lesson,Game,"['Comedy', 'School']",2008,,G,6.86,4185.0,5352.0,4797.0
Tales of Symphonia The Animation: Tethe'alla-hen Specials,Game,['Comedy'],2010,2011,G,7.18,2975.0,4841.0,6139.0
Dantalian no Shoka,Light novel,"['Action', 'Mystery', 'Historical', 'Supernatural']",2011,2011,R,7.31,2419.0,916.0,108129.0
Mouretsu Pirates,Light novel,"['Sci-Fi', 'Space']",2012,2012,PG-13,7.21,2831.0,1504.0,58378.0
Princess Lover! OVA,Visual novel,['Hentai'],2010,2010,Rx,6.8,nan,2648.0,23724.0
Licca-chan no Nichiyoubi,Unknown,['Adventure'],1992,,G,6.09,7450.0,10506.0,426.0
Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,Unknown,['Horror'],1999,,PG-13,5.59,8741.0,9255.0,803.0
Believe,Unknown,"['Action', 'Super Power', 'Music']",2008,,G,5.97,7787.0,9261.0,798.0
Kobe to Watashi,Unknown,"['Comedy', 'Slice of Life']",2010,,G,4.54,10087.0,8778.0,1025.0
Visions of Frank: Short Films by Japan's Most Audacious Animators,Unknown,['Dementia'],2005,,PG-13,5.92,7935.0,10623.0,400.0
Star Driver: Kagayaki no Takuto,Original,"['Action', 'Romance', 'Mecha', 'Shounen']",2010,2011,PG-13,7.31,2443.0,1114.0,83414.0
Nekketsu Uchuujin,Unknown,"['Comedy', 'Sci-Fi']",2009,,PG-13,5.3,9313.0,8696.0,1071.0
Melody,Unknown,['Drama'],2008,,G,5.89,8008.0,8440.0,1216.0
Toaru Majutsu no Index II,Light novel,"['Action', 'Magic', 'Sci-Fi', 'Super Power']",2010,2011,R,7.77,964.0,304.0,265472.0
Bohemian Rhapsody,Manga,"['Music', 'Sci-Fi', 'Space']",2009,,G,5.92,7910.0,5774.0,3972.0
Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi,Unknown,['Kids'],2003,,PG,6.53,5685.0,8816.0,1012.0
Akage no Anne: Green Gables e no Michi,Novel,"['Adventure', 'Slice of Life', 'Historical', 'Shoujo']",2010,,G,6.64,5143.0,7597.0,1799.0
Nougyou Musume!,Unknown,['Comedy'],2010,,G,5.12,9592.0,8310.0,1290.0
Senjutsu Choukoukaku Orion,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",2010,,PG-13,5.4,12791.0,10940.0,346.0
Denkou Chou Tokkyuu Hikarian,Unknown,"['Action', 'Adventure', 'Kids']",2002,2003,G,6.54,5620.0,10723.0,383.0
Susume! Gachimuchi Sankyoudai,Unknown,['Comedy'],2010,,PG-13,4.92,9815.0,12142.0,201.0
Potecco Babies,Original,['Comedy'],2010,2010,G,5.16,9539.0,11503.0,261.0
Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono,Unknown,"['Kids', 'Adventure', 'Comedy']",2004,,G,6.51,5766.0,8934.0,950.0
Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,Unknown,"['Adventure', 'Comedy', 'Kids']",2004,,PG,6.46,5965.0,8858.0,985.0
Hidari no O'Clock!!,Unknown,['Drama'],1990,,PG-13,6.14,11182.0,11913.0,218.0
Shogi Hour,Unknown,"['Parody', 'Game', 'Comedy']",2008,,G,4.97,9771.0,9830.0,590.0
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,Original,"['Magic', 'Shoujo']",1985,,G,5.81,8228.0,9171.0,836.0
Yojouhan Shinwa Taikei Specials,Novel,['Comedy'],2010,2010,PG-13,6.34,6499.0,3399.0,14562.0
Supernatural The Animation,Other,"['Action', 'Demons', 'Horror', 'Supernatural']",2011,2011,R,7.11,3271.0,2660.0,23540.0
Princess Knight☆Catue,Visual novel,['Hentai'],2010,2011,Rx,6.72,nan,5657.0,4171.0
Juliet,Manga,"['Hentai', 'Comedy', 'Supernatural']",1999,,Rx,4.95,nan,9939.0,565.0
Tales of Symphonia The Animation: Sekai Tougou-hen,Game,"['Action', 'Adventure', 'Magic', 'Martial Arts', 'Fantasy']",2011,2012,PG-13,7.57,1467.0,3033.0,18221.0
Toaru Hikuushi e no Tsuioku,Light novel,"['Adventure', 'Military', 'Romance']",2011,,PG-13,7.74,1026.0,1960.0,39401.0
Je T'aime,Unknown,['Sci-Fi'],2010,,R,6.66,5061.0,5279.0,4953.0
Rei Zero,Visual novel,['Hentai'],2010,2011,Rx,6.23,nan,6861.0,2502.0
Netorare Fighter Yaricchingu!,Original,['Hentai'],2010,2011,Rx,6.29,nan,6486.0,2954.0
Otome Juurin Yuugi: Maiden Infringement Play,Visual novel,['Hentai'],2010,2010,Rx,6.42,nan,5932.0,3720.0
Kuruneko 2nd Season,Manga,"['Comedy', 'Slice of Life']",2010,2011,G,7.24,2705.0,8967.0,926.0
Kuttsukiboshi,Original,"['Romance', 'Supernatural', 'Drama', 'Shoujo Ai']",2010,2012,R+,6.29,6680.0,2326.0,29649.0
O-bake no... Holly,Unknown,"['Comedy', 'Fantasy', 'Kids', 'Magic']",1991,1993,G,6.24,6888.0,11187.0,305.0
Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Unknown,['Comedy'],2010,2010,G,7.5,1667.0,3442.0,14178.0
Edokko Boy: Gatten Tasuke,Manga,"['Comedy', 'Martial Arts', 'Police', 'Sports']",1990,1991,G,6.18,10817.0,11285.0,292.0
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,Unknown,"['Shounen', 'Sports', 'Super Power']",2010,,G,7.45,1838.0,3696.0,11810.0
Lupin the Third x Monkey Majik,Unknown,"['Adventure', 'Music']",2009,,PG-13,6.42,6108.0,7253.0,2095.0
IS: Infinite Stratos,Light novel,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Ecchi', 'Mecha']",2011,2011,PG-13,7.0,3675.0,174.0,370491.0
Majuu Sensen,Unknown,"['Action', 'Fantasy']",1990,,R,5.98,7773.0,9850.0,586.0
Jack to Mame no Ki (OVA),Unknown,"['Adventure', 'Kids', 'Fantasy']",1989,,PG,5.96,7817.0,9096.0,869.0
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,Manga,"['Action', 'Sci-Fi', 'Super Power']",2010,,PG-13,7.53,1588.0,1760.0,46367.0
Ice Movie,Unknown,"['Action', 'Sci-Fi', 'Military']",2008,,R,5.56,8795.0,8821.0,1010.0
Tamayura,Original,"['Slice of Life', 'Comedy', 'Drama']",2010,2010,G,7.19,2919.0,2315.0,29904.0
Agitated Screams of Maggots,Unknown,"['Dementia', 'Music', 'Horror']",2006,,R+,4.32,10157.0,5598.0,4284.0
Angel Beats! Specials,Original,"['Action', 'Comedy', 'Supernatural', 'School']",2010,2015,PG-13,7.73,1028.0,497.0,182933.0
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,Manga,"['Comedy', 'Ecchi']",2010,,PG-13,6.9,4040.0,2383.0,28459.0
Hakuouki Hekketsuroku,Visual novel,"['Action', 'Drama', 'Historical', 'Josei', 'Samurai', 'Supernatural']",2010,2010,R,7.72,1070.0,1434.0,63031.0
Oden-kun,Picture book,['Comedy'],2005,2009,G,7.0,12328.0,12109.0,204.0
Arakawa Under the Bridge x Bridge,Manga,"['Comedy', 'Romance', 'Seinen']",2010,2010,PG-13,7.81,873.0,904.0,109009.0
Rokudenashi Blues,Unknown,"['Sports', 'Comedy', 'School', 'Drama', 'Shounen']",1992,,R,6.13,7309.0,8901.0,966.0
Rokudenashi Blues 1993,Unknown,"['Action', 'Comedy', 'School', 'Drama', 'Sports', 'Shounen']",1993,,R,6.35,6442.0,9992.0,551.0
"Mobile Suit SD Gundam Musha, Knight, Commando",Unknown,"['Action', 'Fantasy', 'Mecha', 'Comedy', 'Parody']",1991,1991,PG,5.93,7896.0,8510.0,1169.0
Saiyuuki Gaiden,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",2011,2011,R,7.96,623.0,4132.0,9096.0
Ikusa Otome Suvia Special,Visual novel,"['Fantasy', 'Hentai']",2010,,Rx,5.87,nan,7610.0,1783.0
Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki,Novel,"['Adventure', 'Historical']",1987,,G,6.76,4622.0,10413.0,445.0
Mobile Suit SD Gundam Festival,Unknown,"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Parody']",1993,,PG,6.09,7452.0,8407.0,1242.0
Umi Monogatari: Marin no Kore Naani?,Game,['Comedy'],2009,2010,PG-13,6.31,6612.0,7619.0,1778.0
Nogsaegjeoncha Hamos,Manga,"['Action', 'Adventure', 'Fantasy', 'Shounen']",1997,1998,PG,6.38,6293.0,10311.0,469.0
Pokemon Best Wishes!,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",2010,2012,PG,6.6,5359.0,1692.0,49316.0
Amagami SS OVA,Unknown,"['Romance', 'School']",2011,2011,PG-13,7.34,2300.0,1955.0,39562.0
Chirorin Mura Monogatari,Unknown,"['Kids', 'Slice of Life']",1992,1993,G,6.69,4915.0,9984.0,551.0
Beelzebub: Hirotta Akachan wa Daimaou!?,Manga,"['Action', 'Supernatural', 'Comedy', 'School', 'Demons', 'Shounen']",2010,,PG-13,7.33,2337.0,2428.0,27360.0
Heroman Specials,Original,"['Action', 'Sci-Fi', 'Shounen']",2010,2011,PG-13,6.4,6190.0,7068.0,2270.0
Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou,Manga,"['Comedy', 'Seinen', 'Sports']",2010,,G,7.49,1709.0,4919.0,5961.0
Zettai Karen Children: Gentei Kaikin!! OVA Chou Sakidori Special!!,Unknown,"['Action', 'Comedy', 'Supernatural', 'Shounen']",2010,,PG-13,6.95,3856.0,7198.0,2145.0
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,Manga,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power', 'Supernatural']",2011,2011,PG-13,8.24,296.0,1864.0,43198.0
Fullmetal Alchemist: The Sacred Star of Milos,Manga,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",2011,,R,7.42,1962.0,812.0,119094.0
Kuroshitsuji II Specials,Manga,"['Fantasy', 'Supernatural', 'Comedy', 'Parody', 'Shounen']",2010,2011,PG-13,7.66,1213.0,1178.0,79074.0
Kaibutsu Oujo (OVA),Manga,"['Action', 'Comedy', 'Horror', 'Supernatural', 'Shounen']",2010,2011,R,7.16,3035.0,3929.0,10275.0
Attack No.1 (1970),Unknown,"['Sports', 'Drama', 'Shoujo']",1970,,PG-13,6.28,6702.0,9950.0,558.0
Attack No.1: Namida no Fushichou,Unknown,"['Sports', 'Drama', 'Shoujo']",1971,,PG-13,6.17,7143.0,10572.0,413.0
Attack No.1: Namida no Kaiten Receive,Unknown,"['Sports', 'Drama', 'Shoujo']",1970,,PG-13,6.19,7065.0,10558.0,417.0
Attack No.1: Namida no Sekai Senshuken,Unknown,"['Sports', 'Drama', 'Shoujo']",1970,,PG-13,6.28,6703.0,10550.0,418.0
Shukufuku no Campanella Specials,Unknown,['Ecchi'],2010,2011,R+,5.91,7955.0,6174.0,3333.0
Kimi ga Nozomu Eien: Gundam Parody,Unknown,"['Mecha', 'Parody', 'Sci-Fi', 'Space']",2004,,R+,5.54,8834.0,5266.0,4971.0
Kaitei Sanman Mile,Unknown,"['Adventure', 'Fantasy']",1970,,G,6.09,7444.0,11000.0,336.0
Tsuruhime Ja!,Unknown,"['Kids', 'Slice of Life', 'Comedy', 'Shoujo']",1990,1990,G,5.43,13325.0,12750.0,163.0
Burning Blood,Manga,"['Sports', 'Shounen']",1990,1991,R,6.24,6874.0,10233.0,488.0
Motto To LOVE-Ru,Manga,"['Sci-Fi', 'Harem', 'Comedy', 'Ecchi', 'School', 'Shounen']",2010,2010,R+,7.49,1706.0,460.0,195100.0
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,Manga,"['Action', 'Comedy', 'Ecchi', 'Shounen', 'Sports']",2010,2011,R+,7.72,1063.0,1670.0,50140.0
Seikon no Qwaser: Jotei no Shouzou,Manga,"['Action', 'Super Power', 'Supernatural', 'Ecchi', 'Seinen']",2010,,R+,6.5,5807.0,2952.0,19167.0
K-On!!: Ura-On!!,Original,['Comedy'],2010,2011,G,6.56,5534.0,2362.0,28916.0
Omae Umasou da na,Picture book,"['Action', 'Adventure', 'Fantasy', 'Kids']",2010,,G,8.08,475.0,3973.0,9992.0
Kaichuu!,Manga,"['Comedy', 'Seinen', 'Sports']",2010,2011,PG-13,5.91,7947.0,4356.0,8023.0
Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,Original,['Hentai'],2010,,Rx,5.69,nan,7500.0,1880.0
Kowarekake no Orgel,Original,"['Drama', 'Music', 'Sci-Fi', 'Slice of Life']",2009,,G,7.41,2017.0,2319.0,29826.0
Seikimatsu Occult Gakuin Specials,Original,"['Comedy', 'Supernatural', 'School']",2010,2011,R,6.57,5497.0,4222.0,8619.0
Kanzen Shouri Daiteiou,Unknown,"['Action', 'Adventure', 'Kids', 'Mecha', 'Sci-Fi']",2001,,PG,5.01,9729.0,10172.0,501.0
Wan Wan Chuushingura,Unknown,"['Action', 'Adventure', 'Drama', 'Fantasy']",1963,,G,5.89,8021.0,10232.0,490.0
Yebisu Celebrities 1st,Manga,['Yaoi'],2010,,R,6.06,nan,4644.0,6817.0
Scoopers,Manga,"['Action', 'Sci-Fi']",1987,,R+,5.63,8662.0,9957.0,558.0
Super Robot Taisen OG: The Inspector,Unknown,"['Action', 'Mecha', 'Sci-Fi', 'Space']",2010,2011,PG-13,7.32,2406.0,4590.0,7028.0
Nine: Original-ban,Manga,"['Sports', 'Romance', 'School', 'Shounen']",1983,,G,6.22,6973.0,11069.0,325.0
Nine: Kanketsu-hen,Unknown,"['Sports', 'Romance', 'School', 'Shounen']",1984,,PG-13,6.14,7272.0,11479.0,264.0
Break Blade 3: Kyoujin no Ato,Manga,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",2010,,R,7.87,756.0,1688.0,49445.0
Steins;Gate,Visual novel,"['Thriller', 'Sci-Fi']",2011,2011,PG-13,9.14,3.0,7.0,1139182.0
Mianhada Saranghanda,Unknown,['Drama'],2008,,G,6.2,7042.0,8300.0,1298.0
Denki Musou Hana,Manga,['Hentai'],2007,2007,Rx,5.01,nan,9632.0,655.0
Kizumonogatari I: Tekketsu-hen,Light novel,"['Mystery', 'Supernatural', 'Vampire']",2016,,R,8.44,139.0,373.0,227046.0
Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,Unknown,"['Magic', 'Drama', 'Shoujo']",1980,,G,5.87,8061.0,9763.0,612.0
Imbalance Girl,Unknown,['Hentai'],2004,,Rx,5.25,nan,9953.0,559.0
Bara no Hana to Joe,Unknown,"['Kids', 'Drama']",1977,,PG,5.69,8503.0,10009.0,545.0
Bakuhatsu Gorou,Unknown,"['Comedy', 'Sports']",1970,1970,G,5.33,10462.0,11018.0,334.0
Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenhan,Visual novel,"['Hentai', 'Horror', 'Demons', 'Supernatural', 'Fantasy']",2010,,Rx,6.28,nan,6768.0,2616.0
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,Original,"['Fantasy', 'Kids', 'Magic', 'Shoujo']",2010,,G,7.69,1132.0,5508.0,4470.0
Hanasaku Iroha,Original,"['Slice of Life', 'Comedy', 'Drama']",2011,2011,PG-13,8.0,569.0,413.0,210421.0
Moyashimon CGI Anime,Unknown,"['Comedy', 'School', 'Supernatural']",2010,,PG-13,6.26,6812.0,7668.0,1736.0
Hello Kitty no Cinderella,Unknown,"['Kids', 'Fantasy']",1989,,PG,6.48,5867.0,9884.0,577.0
Kiki to Lala no Aoi Tori,Unknown,['Kids'],1989,,PG,5.99,7738.0,11608.0,249.0
Noel no Fushigi na Bouken,Unknown,"['Adventure', 'Comedy', 'Fantasy']",1983,,G,5.75,8369.0,11991.0,214.0
Happy Day,Unknown,['Hentai'],2002,,Rx,4.46,nan,11022.0,332.0
Oni Chichi 2,Visual novel,['Hentai'],2010,2010,Rx,6.89,nan,3154.0,16783.0
Kansen 3: Shuto Houkai,Visual novel,['Hentai'],2010,2010,Rx,6.56,nan,5863.0,3824.0
Ryoujoku Famiresu Choukyou Menu,Visual novel,['Hentai'],2010,2010,Rx,6.61,nan,5312.0,4899.0
Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu,Visual novel,['Hentai'],2010,2011,Rx,7.15,nan,4614.0,6916.0
Mofukuzuma,Visual novel,['Hentai'],2010,2011,Rx,6.28,nan,5755.0,3992.0
Fractale,Original,"['Adventure', 'Fantasy', 'Sci-Fi']",2011,2011,PG-13,7.02,3591.0,1375.0,66877.0
Toushindai My Lover: Minami tai Mecha-Minami,Unknown,['Hentai'],2001,,Rx,4.91,nan,10850.0,362.0
Doll Saaya,Unknown,['Hentai'],2001,,Rx,4.64,nan,10044.0,536.0
Samero,Original,['Dementia'],1992,,R+,4.46,10119.0,9848.0,587.0
HHH Triple Ecchi,Manga,['Hentai'],2010,2012,Rx,7.38,nan,3028.0,18276.0
Elf 17,Manga,"['Adventure', 'Martial Arts', 'Comedy', 'Mecha']",1987,,PG-13,5.69,8505.0,8820.0,1013.0
Shinseiki Cream Lemon,Unknown,"['Hentai', 'Yuri']",2001,2002,Rx,5.74,nan,8902.0,968.0
Yubisaki Annainin Shirudaku Settai Okawari Sanhaime,Visual novel,['Hentai'],2010,2010,Rx,5.95,nan,7230.0,2118.0
Seme♥Chichi,Manga,['Hentai'],2010,2010,Rx,6.02,nan,7098.0,2251.0
Shoujo Senki Soul Eater,Visual novel,['Hentai'],2010,,Rx,6.62,nan,4301.0,8289.0
Dragon Crisis!,Light novel,"['Action', 'Magic', 'Romance', 'School', 'Seinen', 'Supernatural']",2011,2011,PG-13,6.84,4242.0,771.0,125003.0
Yumekui Merry,Manga,"['Action', 'Supernatural']",2011,2011,PG-13,7.02,3618.0,908.0,108715.0
.hack//Quantum,Original,"['Action', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi']",2011,2011,PG-13,7.26,2605.0,2220.0,32274.0
Koi☆Sento,Original,"['Comedy', 'Romance']",2010,,PG-13,6.49,5838.0,4915.0,5972.0
Mecha☆Afro-kun,Unknown,['Comedy'],2010,,PG-13,6.19,11974.0,11654.0,243.0
Megane na Kanojo,Manga,"['Comedy', 'Romance', 'School', 'Shounen']",2010,,PG-13,6.73,4769.0,3736.0,11517.0
Mayo Elle Otoko no Ko,Unknown,"['Comedy', 'School']",2010,,PG-13,5.08,9641.0,8781.0,1026.0
Ore no Sora Keiji-hen,Unknown,"['Action', 'Police', 'Drama']",1991,1992,R+,5.97,12409.0,11545.0,257.0
Cheburashka,Book,['Comedy'],2010,,G,7.42,1955.0,9269.0,797.0
Try Z,Unknown,['Hentai'],2000,,Rx,5.29,nan,10185.0,499.0
Twinkle Nora Rock Me!,Manga,"['Action', 'Sci-Fi']",1985,,PG-13,4.11,10194.0,9640.0,654.0
Torajima no Miime,Unknown,['Slice of Life'],1999,1999,G,6.29,6698.0,9959.0,557.0
Battle Spirits: Brave,Card game,"['Game', 'Military', 'Sci-Fi', 'Adventure', 'Demons']",2010,2011,PG,7.16,3019.0,7288.0,2060.0
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,Visual novel,"['Harem', 'Comedy', 'Romance', 'Vampire', 'Fantasy']",2011,,PG-13,6.99,3697.0,2749.0,22175.0
Chibi Maruko-chan: Watashi no Suki na Uta,Unknown,"['Music', 'Slice of Life', 'Drama', 'Romance', 'Shoujo']",1992,,G,7.15,3067.0,9222.0,819.0
Shizukanaru Don: Yakuza Side Story,Unknown,"['Action', 'Comedy', 'Drama', 'Seinen']",1991,,PG-13,5.54,12907.0,11703.0,239.0
Tenshi no Habataki Jun,Unknown,['Hentai'],2001,,Rx,4.87,nan,10747.0,378.0
D.C. I&II P.S.P. Re-Animated,Visual novel,"['Magic', 'Harem', 'Romance', 'Drama']",2010,,PG-13,6.77,4546.0,5300.0,4912.0
Sekirei: Pure Engagement Episode 0,Manga,"['Ecchi', 'Comedy', 'Harem']",2010,,R+,7.34,2331.0,2103.0,35230.0
Cool Cool Bye,Original,"['Action', 'Adventure', 'Fantasy']",1986,,R+,5.23,9419.0,9908.0,571.0
Hyakka Ryouran: Samurai Girls Specials,Light novel,['Ecchi'],2010,2011,R+,6.7,4886.0,3003.0,18583.0
Wellber no Monogatari: Kanashimi no Senshi Galahad no Banka,Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2007,,R,5.69,8517.0,9589.0,670.0
Kaichou wa Maid-sama!: Omake dayo!,Manga,"['Comedy', 'School', 'Shoujo']",2011,,PG-13,7.56,1482.0,1278.0,72305.0
Freezing,Manga,"['Action', 'Sci-Fi', 'Harem', 'Drama', 'Romance', 'Ecchi', 'Martial Arts', 'Seinen']",2011,2011,R+,7.08,3349.0,394.0,217752.0
Karl to Fushigi na Tou,Original,"['Adventure', 'Mystery', 'Kids', 'Fantasy']",2010,2011,PG,5.38,11534.0,11553.0,255.0
Netorare: Tanabe Yuuka no Dokuhaku,Original,['Hentai'],2010,,Rx,5.64,nan,6606.0,2814.0
Yamato Takeru: After War,Unknown,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Space', 'Mecha', 'Sci-Fi', 'Shounen']",1995,,PG-13,6.52,5730.0,10684.0,392.0
Denpa Onna to Seishun Otoko,Light novel,"['Sci-Fi', 'Slice of Life', 'Comedy']",2011,2011,PG-13,7.25,2652.0,430.0,204142.0
Rokushin Gattai GodMars (1982),Unknown,"['Action', 'Mecha', 'Sci-Fi', 'Space']",1982,,PG-13,6.01,7698.0,10377.0,454.0
Ginga Hyouryuu Vifam: Kieta 12-nin,Unknown,"['Sci-Fi', 'Adventure', 'Space', 'Mecha']",1985,,G,6.34,6469.0,11063.0,325.0
Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen,Unknown,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",1985,,G,6.5,5781.0,11072.0,326.0
Ginga Hyouryuu Vifam 13,Unknown,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",1998,1998,G,6.79,10985.0,10948.0,347.0
Shounen Jack to Mahoutsukai,Unknown,"['Adventure', 'Fantasy']",1967,,G,5.37,9202.0,10744.0,378.0
T.P. Sakura: Time Paladin Sakura,Visual novel,"['Action', 'Magic']",2011,2011,G,5.96,7830.0,6166.0,3344.0
Miyanishi Tatsuya Gekijou: Omae Umasou da na,Picture book,"['Adventure', 'Kids']",2010,2010,G,6.48,5876.0,8710.0,1063.0
Mitsudomoe: Oppai Ippai Mama Genki,Unknown,"['Slice of Life', 'Comedy', 'School']",2011,,PG-13,7.64,1265.0,3469.0,13896.0
Shin Mashin Eiyuuden Wataru Majinzan,Unknown,"['Action', 'Adventure', 'Fantasy', 'Comedy', 'Mecha', 'Sci-Fi']",1989,1989,G,6.45,6000.0,10895.0,356.0
Shiawase no Katachi,Unknown,['Comedy'],1990,1991,G,6.35,12826.0,12804.0,161.0
D-1 Devastator,Unknown,"['Mecha', 'Sci-Fi']",1992,1993,R+,5.65,8612.0,10176.0,501.0
SMAnime,Unknown,"['Action', 'Seinen']",2000,,R,6.43,6087.0,10769.0,374.0
Koko ni Iru,Unknown,['Slice of Life'],2010,,G,6.02,7651.0,9960.0,556.0
A-jang.com,Unknown,['Fantasy'],2001,2001,G,5.87,8051.0,10750.0,377.0
