name,source,genre,year_from,year_to,rating,score,rank,popularity,members
Hana yori Dango,Manga,"['Drama', 'Romance', 'School', 'Shoujo']",1996,1997,PG-13,7.84,819.0,2031.0,37364.0
Ou Dorobou Jing,Manga,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",2002,2002,PG-13,7.31,2441.0,2375.0,28628.0
Ou Dorobou Jing in Seventh Heaven,Unknown,"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",2004,2004,PG-13,7.37,2201.0,3930.0,10261.0
Bakuretsu Tenshi,Original,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",2004,2004,PG-13,6.89,4047.0,1542.0,55927.0
Chuuka Ichiban!,Manga,"['Action', 'Comedy', 'Drama', 'Shounen']",1997,1998,PG-13,7.7,1106.0,3763.0,11287.0
Chou Henshin Cosprayers,Original,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",2004,2004,PG-13,5.03,9690.0,4749.0,6475.0
Uchuu no Stellvia,Original,"['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']",2003,2003,PG-13,7.44,1895.0,3017.0,18413.0
Sakigake!! Cromartie Koukou,Manga,"['Comedy', 'School', 'Shounen']",2003,2004,PG-13,7.99,587.0,1039.0,91122.0
El Hazard: The Alternative World,Original,"['Adventure', 'Comedy', 'Fantasy']",1998,1998,PG-13,6.9,4011.0,4253.0,8442.0
El Hazard: The Wanderers,Original,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",1995,1996,PG-13,7.04,3509.0,3674.0,11996.0
El Hazard: The Magnificent World,Original,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",1995,1996,PG-13,7.39,2090.0,3589.0,12749.0
El Hazard 2: The Magnificent World,Original,"['Adventure', 'Comedy', 'Fantasy']",1997,1997,PG-13,6.94,3863.0,4655.0,6770.0
Final Approach,Visual novel,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",2004,2004,PG-13,6.63,5212.0,2362.0,28858.0
Fruits Basket,Manga,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']",2001,2001,PG-13,7.77,951.0,244.0,310675.0
Fullmetal Alchemist,Manga,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",2003,2004,PG-13,8.28,268.0,27.0,854022.0
Full Moon wo Sagashite,Manga,"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",2002,2003,PG-13,8.04,508.0,1241.0,74904.0
Fushigi Yuugi,Manga,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",1995,1996,PG-13,7.75,989.0,1197.0,77831.0
Fushigi Yuugi: Eikouden,Manga,"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Shoujo']",2001,2002,PG-13,6.96,3799.0,3495.0,13562.0
Futakoi,Original,"['Comedy', 'Romance', 'School']",2004,2004,PG-13,6.57,5480.0,2389.0,28139.0
Futakoi Alternative,Original,"['Comedy', 'Drama', 'Romance']",2005,2005,PG-13,6.98,3729.0,2520.0,25668.0
Gate Keepers,Game,"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Sci-Fi', 'Shounen']",2000,2000,PG-13,7.04,3511.0,3125.0,17132.0
Gate Keepers 21,Game,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",2002,2003,PG-13,6.85,4202.0,4245.0,8467.0
Gensoumaden Saiyuuki,Manga,"['Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']",2000,2001,R,7.67,1183.0,1943.0,40022.0
Saiyuuki Reload,Manga,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Josei']",2003,2004,PG-13,7.5,1677.0,2648.0,23696.0
Saiyuuki Reload Gunlock,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Josei']",2004,2004,PG-13,7.51,1645.0,3187.0,16424.0
GetBackers,Manga,"['Action', 'Comedy', 'Drama', 'Mystery', 'Shounen', 'Super Power', 'Supernatural']",2002,2003,PG-13,7.68,1152.0,1043.0,90279.0
Green Green,Visual novel,"['Comedy', 'Ecchi', 'Romance', 'School', 'Slice of Life']",2003,2003,R+,6.34,6465.0,1001.0,95049.0
Gunslinger Girl,Manga,"['Action', 'Psychological', 'Military', 'Drama', 'Sci-Fi']",2003,2004,R,7.5,1662.0,702.0,135682.0
Hikaru no Go,Manga,"['Comedy', 'Game', 'Shounen', 'Supernatural']",2001,2003,PG-13,8.16,365.0,1054.0,89377.0
Hunter x Hunter,Manga,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",1999,2001,PG-13,8.47,123.0,316.0,256505.0
Hunter x Hunter: Yorkshin City Kanketsu-hen,Manga,"['Action', 'Adventure', 'Super Power', 'Shounen']",2002,2002,PG-13,8.38,185.0,1255.0,74017.0
Hunter x Hunter: Greed Island,Manga,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",2003,2003,PG-13,8.3,250.0,1156.0,80473.0
Hunter x Hunter: Greed Island Final,Manga,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",2004,2004,PG-13,8.37,192.0,1186.0,78544.0
Kamikaze Kaitou Jeanne,Manga,"['Adventure', 'Comedy', 'Demons', 'Drama', 'Fantasy', 'Magic', 'Mystery', 'Romance', 'Shoujo']",1999,2000,PG-13,7.52,1603.0,1993.0,38422.0
Kannazuki no Miko,Manga,"['Supernatural', 'Drama', 'Magic', 'Romance', 'Mecha', 'Shounen', 'Shoujo Ai']",2004,2004,PG-13,6.98,3736.0,1619.0,52235.0
Kanon,Visual novel,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",2002,2002,G,7.2,2861.0,1699.0,49004.0
Kareshi Kanojo no Jijou,Manga,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo', 'Slice of Life']",1998,1999,PG-13,7.64,1261.0,727.0,131698.0
Kono Minikuku mo Utsukushii Sekai,Original,"['Sci-Fi', 'Comedy', 'Drama', 'Magic', 'Romance', 'Ecchi']",2004,2004,R+,6.85,4209.0,1709.0,48458.0
Kita e.: Diamond Dust Drops,Visual novel,"['Drama', 'Romance', 'Slice of Life']",2004,2004,PG-13,6.7,4889.0,4624.0,6865.0
Loveless,Manga,"['Action', 'Mystery', 'Supernatural', 'Drama', 'Romance', 'Fantasy', 'Josei', 'Shounen Ai']",2005,2005,PG-13,7.08,3358.0,942.0,103264.0
Blood+,Original,"['Action', 'Military', 'Mystery', 'Horror', 'Supernatural', 'Drama', 'Vampire']",2005,2006,R,7.75,982.0,302.0,265515.0
Re: Cutey Honey,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Ecchi', 'Shoujo Ai']",2004,2004,R+,7.15,3092.0,3075.0,17686.0
Solty Rei,Original,"['Action', 'Sci-Fi', 'Super Power']",2005,2006,R,7.33,2367.0,2732.0,22336.0
Juuni Kokuki,Novel,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Supernatural']",2002,2003,PG-13,8.12,422.0,1060.0,88899.0
Shaman King,Manga,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']",2001,2002,PG-13,7.83,852.0,366.0,230755.0
X/1999,Manga,"['Action', 'Drama', 'Fantasy', 'Horror', 'Magic', 'Sci-Fi', 'Supernatural']",1996,,R,6.66,5092.0,2443.0,27050.0
X,Manga,"['Action', 'Super Power', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shoujo']",2001,2002,R+,7.51,1653.0,1468.0,60599.0
Mahou Sensei Negima!,Manga,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Shounen', 'Super Power', 'Supernatural']",2005,2005,PG-13,7.06,3437.0,952.0,101540.0
Maria-sama ga Miteru,Light novel,"['Slice of Life', 'Drama', 'Romance', 'Shoujo', 'Shoujo Ai']",2004,2004,PG-13,7.43,1923.0,1859.0,43233.0
Boukyaku no Senritsu,Manga,"['Adventure', 'Fantasy', 'Horror', 'Mecha', 'Psychological', 'Sci-Fi', 'Shounen', 'Space', 'Supernatural']",2004,2004,PG-13,6.39,6225.0,3370.0,14738.0
"Ima, Soko ni Iru Boku",Original,"['Adventure', 'Drama', 'Fantasy', 'Military', 'Sci-Fi']",1999,2000,R,7.73,1038.0,1128.0,81980.0
Peace Maker Kurogane,Manga,"['Action', 'Comedy', 'Historical', 'Samurai', 'Shounen']",2003,2004,R,7.39,2118.0,1876.0,42615.0
Pita Ten,Manga,"['Comedy', 'Fantasy', 'Kids', 'Romance', 'School', 'Shounen']",2002,2002,G,7.03,3564.0,3025.0,18296.0
Power Stone,Game,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Shounen']",1999,1999,PG,6.53,5673.0,5105.0,5389.0
Mononoke Hime,Original,"['Action', 'Adventure', 'Fantasy']",1997,,PG-13,8.79,30.0,79.0,568463.0
RahXephon,Original,"['Action', 'Drama', 'Mecha', 'Music', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi']",2002,2002,PG-13,7.49,1709.0,1108.0,83932.0
Samurai 7,Other,"['Historical', 'Mecha', 'Samurai', 'Sci-Fi']",2004,2004,PG-13,7.56,1492.0,1036.0,91374.0
Scrapped Princess,Light novel,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Sci-Fi', 'Shounen']",2003,2003,PG-13,7.47,1782.0,1284.0,71737.0
s.CRY.ed,Original,"['Action', 'Sci-Fi', 'Adventure', 'Super Power', 'Drama']",2001,2001,PG-13,7.43,1935.0,1429.0,63566.0
Shingetsutan Tsukihime,Visual novel,"['Action', 'Horror', 'Mystery', 'Romance', 'Super Power', 'Supernatural', 'Vampire']",2003,2003,R,7.02,3610.0,846.0,114297.0
Slam Dunk,Manga,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1993,1996,PG-13,8.54,92.0,751.0,128264.0
Strange Dawn,Original,"['Adventure', 'Drama', 'Fantasy']",2000,2000,PG,6.52,5721.0,6506.0,2932.0
Tenjou Tenge,Manga,"['Action', 'Ecchi', 'Martial Arts', 'Comedy', 'Super Power', 'School', 'Shounen']",2004,2004,R,7.04,3531.0,728.0,131441.0
Tokyo Underground,Manga,"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'Shounen', 'Super Power']",2002,2002,PG-13,6.69,4945.0,2761.0,21984.0
Triangle Heart: Sweet Songs Forever,Unknown,"['Adventure', 'Romance']",2003,2003,PG-13,6.24,6896.0,5119.0,5353.0
Tsubasa Chronicle,Manga,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Romance', 'Supernatural', 'Shounen']",2005,2005,PG-13,7.63,1296.0,553.0,166918.0
Ultra Maniac,Manga,"['Magic', 'Comedy', 'Romance', 'School', 'Shoujo']",2003,2003,G,7.25,2684.0,2649.0,23669.0
Vandread,Original,"['Action', 'Ecchi', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",2000,2000,PG-13,7.28,2563.0,1411.0,64355.0
Vandread: The Second Stage,Original,"['Action', 'Ecchi', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",2001,2002,PG-13,7.49,1715.0,1882.0,42437.0
Whistle!,Manga,"['School', 'Shounen', 'Sports']",2002,2003,G,7.49,1717.0,3956.0,10123.0
Xenosaga The Animation,Game,"['Action', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",2005,2005,PG-13,6.43,6095.0,3235.0,15991.0
Initial D Second Stage,Manga,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",1999,2000,PG-13,8.16,366.0,1117.0,83138.0
Initial D Third Stage,Manga,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",2001,,PG-13,7.96,618.0,1305.0,70628.0
Gosenzo San'e,Original,"['Comedy', 'Hentai', 'Mystery', 'Supernatural']",1998,1999,Rx,6.21,nan,7700.0,1703.0
Love Hina,Manga,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen', 'Slice of Life']",2000,2000,PG-13,7.23,2739.0,473.0,191811.0
Love Hina Again,Manga,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Shounen']",2002,2002,PG-13,7.32,2394.0,1321.0,69568.0
Love Hina Christmas Special: Silent Eve,Manga,"['Slice of Life', 'Comedy', 'Romance']",2000,,PG-13,7.4,2060.0,1686.0,49493.0
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Unknown,"['Adventure', 'Comedy', 'Romance']",2001,,PG-13,7.27,2588.0,1808.0,44750.0
Maburaho,Light novel,"['Comedy', 'Drama', 'Ecchi', 'Harem', 'Magic', 'Romance', 'School']",2003,2004,R+,6.91,3987.0,1248.0,74569.0
Macross Zero,Unknown,"['Adventure', 'Mecha', 'Military', 'Sci-Fi', 'Shounen']",2002,2004,R+,7.62,1319.0,2372.0,28670.0
Onegai☆Teacher,Original,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'School']",2002,2002,PG-13,7.29,2519.0,779.0,123941.0
Onegai☆Twins,Original,"['Comedy', 'Drama', 'Harem', 'School', 'Sci-Fi']",2003,2003,PG-13,6.97,3778.0,1337.0,68816.0
Rizelmine,Manga,"['Sci-Fi', 'Comedy', 'Romance', 'Ecchi', 'School']",2002,2002,R+,6.61,5324.0,2917.0,19525.0
Speed Grapher,Original,"['Action', 'Mystery', 'Super Power']",2005,2005,R+,7.42,1985.0,1135.0,81688.0
Sen to Chihiro no Kamikakushi,Original,"['Adventure', 'Supernatural', 'Drama']",2001,,PG,8.91,18.0,40.0,789004.0
