date,weapon laws,warrants,non-criminal,personal crimes,other,property crimes,financial ,statutory crimes,secondary codes,suspicious occ,trespass,runaway,family offenses,suicide,liquor laws
2016-06-23,6,21,42,66,51,170,6,9,6,10,3,0,0,0,0
2016-06-24,5,23,58,53,58,205,8,18,6,13,8,0,0,0,0
2016-06-25,5,18,61,83,65,211,7,16,11,27,3,0,0,0,0
2016-06-26,8,14,52,59,57,223,9,31,7,15,4,0,0,1,0
2016-06-27,2,9,43,40,32,164,11,15,2,12,4,2,0,0,0
2016-06-28,4,23,40,61,68,169,5,23,8,21,9,1,0,0,0
2016-06-29,4,18,37,38,51,154,11,20,2,16,5,1,0,0,0
2016-06-30,4,19,46,32,69,170,13,12,5,20,2,1,1,0,0
2016-07-01,4,15,55,74,81,209,14,23,5,20,2,0,2,1,0
2016-07-02,5,16,48,58,30,169,6,7,1,12,2,0,0,0,0
2016-07-03,9,14,38,42,52,170,8,28,3,20,3,0,0,0,0
2016-07-04,4,11,41,43,59,148,5,20,2,10,7,0,0,1,1
2016-07-05,7,13,41,43,66,159,16,16,4,17,10,0,2,0,0
2016-07-06,8,18,48,38,70,169,9,26,4,17,6,0,0,0,0
2016-07-07,2,16,51,33,48,161,15,14,3,18,8,0,0,0,0
2016-07-08,5,7,59,46,34,160,11,13,4,12,2,0,0,0,0
2016-07-09,1,10,54,44,24,215,12,15,4,16,6,0,0,0,0
2016-07-10,3,11,37,54,39,184,8,17,4,12,2,1,0,0,0
2016-07-11,5,16,49,58,56,181,10,17,2,16,4,0,0,0,0
2016-07-12,8,17,38,45,40,167,9,18,7,19,10,0,0,0,0
2016-07-13,9,19,46,47,49,142,8,15,5,16,8,0,0,0,0
2016-07-14,4,18,46,47,49,169,8,17,5,13,7,0,0,0,0
2016-07-15,5,10,50,50,54,213,12,10,4,9,4,0,0,0,1
2016-07-16,9,12,49,73,38,186,9,17,7,20,1,1,0,0,0
2016-07-17,0,8,39,46,39,161,9,8,3,11,5,0,0,0,1
2016-07-18,2,17,38,34,55,185,9,11,4,20,3,1,0,0,0
2016-07-19,3,16,49,42,56,186,16,9,4,24,6,0,0,0,1
2016-07-20,5,24,50,52,51,132,10,12,2,13,4,1,1,0,0
2016-07-21,5,11,48,43,41,190,16,14,4,10,4,0,1,0,0
2016-07-22,2,12,60,41,38,207,12,14,5,12,3,0,0,0,0
2016-07-23,2,9,51,31,46,207,13,18,3,12,6,1,0,0,0
2016-07-24,7,19,47,45,53,176,6,10,8,13,4,0,0,0,1
2016-07-25,5,14,43,41,41,180,7,15,6,13,7,1,1,0,0
2016-07-26,6,20,40,42,41,194,17,13,3,10,7,1,0,0,0
2016-07-27,6,25,52,42,45,201,11,24,2,17,7,0,0,0,1
2016-07-28,0,15,42,45,43,204,13,10,2,9,4,0,0,0,0
2016-07-29,6,6,41,48,52,200,7,9,4,15,8,1,0,0,0
2016-07-30,2,17,46,42,41,209,12,19,1,26,3,0,0,0,0
2016-07-31,3,17,55,49,49,206,5,14,5,10,6,1,1,0,0
2016-08-01,5,18,66,53,61,216,17,22,2,20,3,0,0,1,0
2016-08-02,5,24,45,50,41,171,12,15,3,12,1,0,0,0,0
2016-08-03,8,13,52,41,63,173,8,21,4,10,3,0,0,0,1
2016-08-04,5,20,39,36,36,150,14,27,7,17,1,0,0,0,2
2016-08-05,5,21,54,46,63,193,12,18,7,19,4,0,1,0,0
2016-08-06,2,9,50,51,56,203,12,27,4,11,4,1,0,0,0
2016-08-07,4,10,47,46,49,182,6,27,1,17,8,0,1,2,0
2016-08-08,1,14,36,43,39,173,8,12,2,11,5,1,0,0,0
2016-08-09,6,12,38,55,59,170,6,18,2,11,3,0,0,0,0
2016-08-10,4,18,36,65,71,155,6,24,6,22,3,0,0,0,1
2016-08-11,3,19,45,52,66,180,11,24,6,7,3,0,1,0,1
2016-08-12,9,18,42,57,56,180,12,17,3,12,6,0,0,0,1
2016-08-13,7,19,44,52,58,202,12,17,7,8,5,0,0,0,0
2016-08-14,4,10,42,50,39,197,3,7,5,23,4,0,0,0,0
2016-08-15,5,9,41,54,54,174,9,6,5,13,4,0,0,0,0
2016-08-16,4,13,41,45,53,171,8,25,5,7,5,0,0,1,1
2016-08-17,1,15,37,38,47,176,9,21,3,19,6,0,0,2,0
2016-08-18,2,10,43,51,49,218,9,15,4,15,4,0,0,0,1
2016-08-19,3,14,49,48,52,173,8,17,6,13,3,0,0,0,0
2016-08-20,0,7,38,42,50,175,6,9,1,19,1,0,0,0,0
2016-08-21,4,18,46,44,50,195,13,26,5,10,6,0,0,1,0
2016-08-22,5,12,41,57,46,169,14,21,6,17,9,2,0,0,0
2016-08-23,10,22,42,60,67,159,13,22,3,14,3,0,0,0,0
2016-08-24,2,19,34,52,71,177,3,18,5,17,7,0,0,0,0
2016-08-25,5,17,51,28,64,160,18,70,3,18,5,1,0,0,0
2016-08-26,1,7,50,42,50,210,20,17,7,11,5,0,0,1,3
2016-08-27,2,14,43,62,46,179,9,24,2,12,4,0,0,0,1
2016-08-28,10,15,42,62,49,154,9,18,6,18,5,0,0,1,0
2016-08-29,4,16,52,47,58,172,17,17,7,15,5,2,0,0,1
2016-08-30,5,9,42,44,52,155,7,14,7,17,3,1,0,0,2
2016-08-31,8,18,44,49,69,171,9,16,8,16,8,1,0,0,1
2016-09-01,4,19,47,48,81,164,16,43,7,10,4,0,0,1,1
2016-09-02,4,22,57,68,74,196,8,26,5,20,5,1,0,1,2
2016-09-03,4,11,55,45,52,180,11,30,7,13,5,0,0,0,0
2016-09-04,10,9,27,57,47,194,9,19,8,16,5,0,0,0,0
2016-09-05,3,16,39,44,48,154,8,16,2,14,6,0,0,0,0
2016-09-06,3,22,44,43,51,188,13,27,6,18,3,0,0,0,0
2016-09-07,5,19,49,37,68,161,8,27,6,15,10,0,0,0,0
2016-09-08,6,17,38,55,40,178,13,15,7,13,5,1,0,0,0
2016-09-09,4,8,59,52,59,196,12,18,2,13,5,0,0,0,1
2016-09-10,4,15,58,49,58,186,10,21,5,21,2,0,0,0,0
2016-09-11,7,15,57,42,31,170,3,12,10,10,1,0,0,0,2
2016-09-12,3,15,59,31,46,181,6,23,2,9,8,0,0,0,0
2016-09-13,3,12,46,43,56,174,16,21,9,22,7,1,0,0,0
2016-09-14,5,16,43,48,63,165,7,11,9,16,3,1,0,0,1
2016-09-15,4,16,58,56,71,192,11,27,4,18,5,0,0,0,0
2016-09-16,4,14,56,70,47,192,13,13,2,13,8,0,0,1,0
2016-09-17,4,12,49,69,46,211,10,12,2,15,1,0,0,0,0
2016-09-18,8,18,45,60,41,200,8,12,8,16,3,0,0,0,0
2016-09-19,7,14,48,42,37,176,12,18,10,13,7,0,0,0,0
2016-09-20,2,17,37,52,51,169,6,26,5,11,9,0,0,0,1
2016-09-21,7,15,49,51,58,155,7,14,4,20,8,0,0,0,1
2016-09-22,3,11,36,61,46,180,9,47,6,23,9,0,0,0,0
2016-09-23,4,15,43,62,55,202,13,24,8,18,7,0,0,0,0
2016-09-24,7,15,61,59,59,191,7,16,6,19,7,0,0,0,0
2016-09-25,6,12,63,54,51,188,13,13,8,14,5,2,0,1,0
2016-09-26,5,13,45,60,60,179,3,19,4,27,3,1,0,0,0
2016-09-27,5,15,57,68,53,169,11,12,6,23,3,0,0,0,0
2016-09-28,7,20,69,39,51,209,5,14,6,17,6,1,0,0,0
