date,WEAPON LAWS,WARRANTS,NON-CRIMINAL,ASSAULT,OTHER OFFENSES,MISSING PERSON,LARCENY/THEFT,BURGLARY,STOLEN PROPERTY,ROBBERY,FRAUD,DRUG/NARCOTIC,VEHICLE THEFT,RECOVERED VEHICLE,VANDALISM,ARSON,PROSTITUTION,SECONDARY CODES,SUSPICIOUS OCC,DRUNKENNESS,TRESPASS,"SEX OFFENSES, NON FORCIBLE","SEX OFFENSES, FORCIBLE",RUNAWAY,KIDNAPPING,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,FORGERY/COUNTERFEITING,EMBEZZLEMENT,BRIBERY,FAMILY OFFENSES,GAMBLING,SUICIDE,LIQUOR LAWS,EXTORTION,LOITERING,TREA,BAD CHECKS,PORNOGRAPHY/OBSCENE MAT
2016-04-14,9,17,43,46,59,10,91,10,1,6,9,11,10,4,12,2,0,4,14,1,2,0,2,0,2,0,0,2,0,2,1,0,0,1,0,0,0,0,0
2016-04-15,6,15,60,42,57,22,101,19,2,8,3,12,26,4,14,0,0,9,23,1,7,0,3,2,1,2,1,3,0,1,0,0,0,1,0,0,0,0,0
2016-04-16,3,19,58,34,51,13,92,14,1,8,5,18,16,1,18,1,0,3,18,1,5,0,4,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2016-04-17,4,21,41,41,47,14,93,11,1,8,9,15,18,1,20,1,1,2,14,1,1,0,1,2,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0
2016-04-18,1,14,48,33,54,8,95,19,1,10,10,7,16,2,17,0,1,3,10,0,5,0,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
2016-04-19,5,23,49,42,57,10,105,18,4,8,7,13,12,1,28,0,0,1,15,2,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2016-04-20,11,26,61,44,87,8,82,13,5,16,3,23,27,5,22,1,3,10,23,0,2,0,2,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0
2016-04-21,5,27,41,27,60,10,92,17,2,11,10,19,21,3,20,4,0,8,22,1,3,0,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
2016-04-22,4,21,66,39,48,8,101,16,0,9,7,17,8,2,27,1,0,9,13,4,4,0,2,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0
2016-04-23,1,24,59,49,60,11,112,16,1,9,9,5,14,3,29,0,0,4,16,3,5,0,4,1,2,1,1,5,0,1,1,0,0,0,0,0,0,0,0
2016-04-24,4,21,49,41,52,6,91,17,6,12,11,12,12,0,15,0,0,1,12,1,3,1,8,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0
2016-04-25,6,22,57,25,63,11,101,11,1,5,3,13,7,0,25,2,0,5,12,0,4,0,3,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0
2016-04-26,0,15,52,26,53,6,93,15,3,3,5,9,16,1,16,0,2,5,17,0,4,0,1,1,0,2,1,2,1,1,1,0,0,0,0,1,0,0,0
2016-04-27,3,18,55,38,50,6,90,10,3,11,5,12,24,0,21,0,0,3,12,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-04-28,1,26,47,29,61,7,96,13,3,8,9,22,17,4,17,0,44,4,19,0,7,0,7,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0
2016-04-29,8,16,62,40,60,10,107,32,3,10,6,8,12,1,28,0,0,2,10,3,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2016-04-30,4,24,61,37,52,11,102,15,3,9,4,20,22,2,22,7,0,1,9,3,6,0,0,0,0,1,0,0,0,0,1,1,2,5,0,0,0,0,0
2016-05-01,5,16,61,52,60,19,101,14,4,10,7,23,16,0,25,0,0,10,22,2,5,0,10,1,0,4,0,2,1,1,0,0,0,1,0,0,0,0,0
2016-05-02,4,15,55,35,48,12,97,17,1,10,2,13,20,1,19,0,0,5,11,0,3,0,7,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
2016-05-03,4,15,42,32,40,10,91,11,2,8,6,17,10,1,22,1,0,7,18,1,2,1,2,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0
2016-05-04,6,24,57,23,53,16,89,14,2,8,4,13,15,2,33,0,1,4,16,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-05-05,2,19,55,45,81,16,95,11,4,6,7,20,18,4,19,0,0,7,24,1,9,1,1,1,0,1,0,5,2,0,0,0,0,1,0,1,0,0,0
2016-05-06,7,17,56,23,58,9,127,14,0,9,9,23,24,1,25,0,0,9,14,1,6,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-07,5,24,59,39,62,11,107,11,0,7,9,17,11,4,16,1,0,6,15,2,5,0,1,0,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0
2016-05-08,4,19,53,44,29,8,80,12,2,7,3,12,15,2,14,0,0,5,13,2,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-05-09,5,18,36,40,44,13,79,19,0,7,2,7,12,8,12,1,0,0,12,2,2,0,1,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0
2016-05-10,4,24,49,28,56,14,95,8,3,8,2,9,10,2,25,0,5,3,21,0,4,1,1,0,0,3,3,3,0,0,0,0,0,1,0,0,0,0,0
2016-05-11,7,19,49,26,64,9,90,7,4,5,9,16,22,2,22,1,0,5,12,2,3,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-05-12,8,25,39,33,58,12,102,11,0,9,10,16,17,0,21,3,0,5,14,1,4,0,4,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-05-13,6,15,49,39,51,14,124,13,0,9,5,11,12,1,26,0,24,6,15,3,6,0,4,0,1,1,0,4,1,0,0,0,1,1,0,0,0,0,0
2016-05-14,3,27,53,28,54,12,122,11,2,13,8,5,20,0,24,1,0,4,15,3,5,0,2,2,1,1,2,2,1,1,0,0,2,1,1,0,0,0,0
2016-05-15,1,18,76,46,56,6,111,11,2,18,4,8,22,0,22,0,0,5,23,4,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-16,0,14,61,44,63,9,107,7,3,14,13,14,17,4,13,0,0,4,23,0,13,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2016-05-17,5,27,50,44,59,10,100,14,2,7,11,18,18,1,16,1,3,3,10,2,15,0,3,0,1,6,1,1,0,0,0,1,0,2,0,0,0,0,0
2016-05-18,5,16,46,32,62,10,101,17,1,7,6,21,22,1,12,0,0,1,11,2,8,0,1,0,0,4,1,2,0,0,0,0,0,3,0,0,0,0,0
2016-05-19,6,15,58,26,48,11,102,17,3,11,6,9,14,4,19,0,3,5,12,1,14,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-05-20,3,21,53,54,62,9,119,28,1,10,8,8,10,2,16,1,6,6,16,3,7,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0
