Date	Source	Target	CAMEOCode	NumEvents	NumArts	QuadClass	Goldstein	SourceGeoType	SourceGeoLat	SourceGeoLong	TargetGeoType	TargetGeoLat	TargetGeoLong	ActionGeoType	ActionGeoLat	ActionGeoLong
19790101	COP	USA	190	1	4	4	-10	4	53.4395	14.5939	4	53.4395	14.5939	4	53.4395	14.5939
19790101	COP	USAELIGOV	010	1	9	1	0	3	32.7831	-96.8067	3	32.7831	-96.8067	3	32.7831	-96.8067
19790101	CRM	CAN	010	1	4	1	0	4	21.6833	-82.8667	4	21.6833	-82.8667	4	21.6833	-82.8667
19790101	CRM	CAN	081	1	1	2	5	1	60	-95	1	60	-95	1	60	-95
19790101	CRM	CAN	173	1	1	4	-5	1	60	-95	1	60	-95	1	60	-95
19790101	CUBGOV	USA	017	1	5	1	0	1	60	-95	1	60	-95	1	60	-95
19790101	CUBGOV	USA	050	1	5	1	3.5	1	38	-97	1	21.5	-80	1	38	-97
19790101	CUBGOV	USA	111	1	5	3	-2	1	21.5	-80	1	38	-97	1	38	-97
19790101	CUBLEG	GOV	010	1	2	1	0	1	21.5	-80	1	38	-97	1	38	-97
19790101	CUBLEG	GOV	186	1	2	4	-10	4	21.6833	-82.8667	4	21.6833	-82.8667	4	21.6833	-82.8667
19790101	CUB	USA	017	1	4	1	0	4	21.6833	-82.8667	4	21.6833	-82.8667	4	21.6833	-82.8667
19790101	CUB	USA	050	1	4	1	3.5	1	38	-97	1	21.5	-80	1	38	-97
19790101	CUB	USA	111	1	4	3	-2	1	21.5	-80	1	38	-97	1	38	-97
19790101	CVL	CHRCTH	043	1	9	1	2.8	1	21.5	-80	1	38	-97	1	38	-97
19790101	CVL	EGY	046	1	4	1	7	1	41.9	12.45	1	41.9	12.45	1	41.9	12.45
19790101	CVL	GOV	020	2	5	1	3	4	39.9289	116.388	4	39.9289	116.388	4	39.9289	116.388
19790101	CVL	HLH	043	2	5	1	2.8	3	40.8559	-73.2007	3	40.8559	-73.2007	3	40.8559	-73.2007
19790101	CVL	UAF	180	1	10	4	-9	3	43.152	-76.061	3	43.152	-76.061	3	43.152	-76.061
19790101	CVL	VNM	190	1	2	4	-10	4	-22.2167	29.9833	4	-22.2167	29.9833	4	-22.2167	29.9833
19790101	EDU	USA	040	1	5	1	1	4	21.0833	106.5	4	22.8333	106.517	4	21.0833	106.5
19790101	EDU	USA	182	1	5	4	-9.5	3	40.8667	-81.4387	3	40.8667	-81.4387	3	40.8667	-81.4387
19790101	EGY	CVL	046	2	4	1	7	4	31.2754	34.1679	4	31.2754	34.1679	4	31.2754	34.1679
19790101	EGYEDU	EGY	040	1	2	1	1	4	31.2754	34.1679	4	31.7444	34.6809	4	31.7444	34.6809
19790101	EGY	EGYEDU	040	1	2	1	1	1	27	30	1	27	30	1	27	30
19790101	EGY	GOV	040	1	4	1	1	1	27	30	1	27	30	1	27	30
19790101	EGYGOV	GOV	040	2	15	1	1	1	27	30	1	27	30	1	27	30
19790101	EGY	ISR	012	2	9	1	-0.4	1	27	30	1	27	30	1	31.5	34.75
19790101	EGY	PSE	046	4	9	1	7	1	33	44	1	33	44	1	33	44
19790101	EGY	PSE	1044	2	9	3	-5	1	60	100	1	27	30	4	32.0667	34.7667
19790101	ERI	SEP	080	1	2	2	5	1	27	30	1	31.6667	35.25	1	27	30
19790101	ERISEP	SEP	080	1	6	2	5	1	15	39	1	15	39	1	15	39
19790101	FRA	AFR	042	1	4	1	1.9	1	15	39	1	15	39	1	15	39
19790101	FRA	GAB	042	2	4	1	1.9	4	0.383333	9.45	1	46	2	1	46	2
19790101	FRA	GAB	051	3	19	1	3.4	1	46	2	4	0.383333	9.45	1	46	2
19790101	FRA	GABELIGOV	046	2	2	1	7	1	46	2	1	46	2	1	46	2
19790101	FRAGOV	AFR	042	2	19	1	1.9	1	46	2	1	46	2	1	46	2
19790101	FRAGOV	FRA	051	1	2	1	3.4	1	46	2	1	46	2	1	46	2
19790101	FRAGOV	GAB	042	3	17	1	1.9	4	0.383333	9.45	1	46	2	1	46	2
19790101	FRAGOV	GAB	050	1	2	1	3.5	4	0.383333	9.45	1	46	2	1	46	2
19790101	FRAGOV	GABELIGOV	046	2	15	1	7	1	46	2	4	0.383333	9.45	1	46	2
19790101	FRA	IRQ	051	1	3	1	3.4	1	46	2	4	0.383333	9.45	1	46	2
19790101	FRA	MIL	070	2	19	2	7	1	46	2	1	46	2	1	46	2
19790101	GABELIGOV	FRA	046	2	2	1	7	1	46	2	1	46	2	1	46	2
19790101	GABELIGOV	FRAGOV	046	2	15	1	7	4	0.383333	9.45	1	46	2	1	46	2
19790101	GAB	FRA	043	1	4	1	2.8	4	0.383333	9.45	1	46	2	1	46	2
19790101	GAB	FRAGOV	043	4	17	1	2.8	4	0.383333	9.45	1	46	2	1	46	2
19790101	GOV	CHLGOVMIL	036	1	9	1	4	4	0.383333	9.45	1	46	2	1	46	2
19790101	GOV	CHN	020	1	7	1	3	1	-30	-71	1	-30	-71	1	-30	-71
19790101	GOV	CHN	0841	1	4	2	7	4	31.85	117.683	4	31.85	117.683	4	31.85	117.683
