id,date,longitude,latitude,magnitude,mag_key,value
167,2014,142.453,37.005,5.0,5,3.0
168,2014,-97.146,35.524,5.0,5,0
169,2014,-136.96,58.306,4.0,4,0
170,2014,-95.653,17.682,5.0,5,2.0
171,2014,3.301,36.841,6.0,6,426.0
172,2014,26.705,-26.99,6.0,6,18.0
173,2014,-78.322,-0.018,5.0,5,10.0
174,2014,103.546,28.125,2.0,2,6.0
175,2014,47.673,32.663,3.0,3,330.0
176,2014,-122.312,38.216,8.0,8,258.0
177,2014,125.233,6.864,5.0,5,1.0
178,2014,-71.695,-13.843,7.0,7,14.0
179,2014,-88.123,12.526,7.0,7,1.0
180,2014,126.522,1.893,5.0,5,0
181,2014,101.737,30.34,3.0,3,70.0
182,2014,137.888,36.641,9.0,9,45.0
183,2015,103.199,29.353,6.0,6,11.0
184,2015,142.881,39.856,4.0,4,0
185,2015,168.148,-16.431,5.0,5,0
186,2015,73.278,34.671,4.0,4,5.0
187,2015,-71.934,-15.693,3.0,3,0
188,2015,19.861,44.088,4.0,4,0
189,2015,-73.01,6.8,5.0,5,0
190,2015,152.562,-4.729,6.0,6,0
191,2015,122.316,24.203,4.0,4,2.0
192,2015,84.731,28.231,8.0,8,26066.0
193,2015,86.066,27.809,7.0,7,2917.0
194,2015,140.493,27.839,6.0,6,12.0
195,2015,116.541,5.987,6.0,6,18.0
196,2015,165.141,-10.401,8.0,8,0
197,2015,73.193,33.856,5.0,5,4.0
198,2015,138.528,-2.629,5.0,5,1.0
199,2015,-77.315,8.231,3.0,3,6.0
200,2015,28.897,-2.141,4.0,4,33.0
201,2015,-88.478,13.668,4.0,4,4.0
202,2015,-71.674,-31.573,9.0,9,21.0
203,2015,131.27,-0.59,5.0,5,62.0
204,2015,-64.632,-25.442,7.0,7,32.0
205,2015,70.368,36.524,7.0,7,2169.0
206,2015,124.875,-8.338,5.0,5,0
207,2015,-72.105,-29.439,7.0,7,0
208,2015,128.873,31.001,4.0,4,0
209,2015,73.204,40.376,5.0,5,0
210,2015,158.422,-8.899,4.0,4,0
211,2015,-71.42,8.48,4.0,4,4.0
212,2015,-71.41,-10.77,4.0,4,0
213,2015,-70.98,-10.07,4.0,4,0
214,2015,72.78,38.211,3.0,3,2.0
215,2015,-93.633,15.802,5.0,5,2.0
216,2015,71.126,36.494,5.0,5,101.0
217,2016,93.651,24.804,7.0,7,113.0
218,2016,127.229,-3.873,3.0,3,23.0
219,2016,-153.452,59.658,6.0,6,0
220,2016,-3.682,35.649,6.0,6,27.0
221,2016,120.46,22.97,7.0,7,642.0
222,2016,94.33,-4.952,5.0,5,0
223,2016,71.131,36.473,5.0,5,11.0
224,2016,94.865,23.094,5.0,5,172.0
225,2016,130.754,32.791,8.0,8,1550.0
226,2016,-80.16,0.35,8.0,8,6937.0
227,2016,-79.616,0.495,4.0,4,163.0
228,2016,3.517,36.431,5.0,5,28.0
229,2016,100.665,-2.097,5.0,5,31.0
230,2016,126.371,1.279,4.0,4,0
231,2016,145.507,18.543,4.0,4,0
232,2016,117.814,-8.194,6.0,6,4.0
233,2016,-71.68,-15.64,6.0,6,77.0
234,2016,143.68,40.394,2.0,2,0
235,2016,13.238,42.704,9.0,9,667.0
236,2016,94.569,20.923,5.0,5,24.0
237,2016,179.146,-37.359,5.0,5,0
238,2016,21.488,42.008,6.0,6,30.0
239,2016,129.216,35.781,6.0,6,15.0
240,2016,-86.515,12.442,4.0,4,6.0
241,2016,73.682,34.905,2.0,2,1.0
242,2016,133.809,35.374,6.0,6,7.0
