"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"103334","1509559","REGULAR","SBTS COFFEE SHOP","","2825 LEXINGTON RD","","LOUISVILLE","KY","40206","FOOD SERVICE","2019-10-21 00:00:00","100","A","SBTS COFFEE SHOP",""
"60991","1509563","REGULAR","CARDS STAND #12","","2800 S FLOYD ST","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-18 00:00:00","100","A","CARDS STAND #12",""
"104591","1507943","REGULAR","HOMEWOOD SUITES","","635 W MARKET ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-10-14 00:00:00","100","A","HOMEWOOD SUITES",""
"81481","1508004","REGULAR","HARDEE'S","","3459 TAYLOR BLVD","","LOUISVILLE","KY","40215","FOOD SERVICE","2019-10-14 00:00:00","95","A","HARDEE'S",""
"32726","1508017","REGULAR","GREENWOOD ELEMENTARY SCHOOL","","5801 GREENWOOD RD","","LOUISVILLE","KY","40258","SCHOOL CAFETERIA OR FOOD SERVICE","2019-10-14 00:00:00","100","A","GREENWOOD ELEMENTARY SCHOOL",""
"47808","1508047","REGULAR","KFC Y052-049","","3400 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","2019-10-14 00:00:00","96","A","KFC Y052-049",""
"73644","1508085","COMPLAINT","STARBUCKS MARRIOTT","","280 W JEFFERSON ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-10-08 00:00:00","","","STARBUCKS MARRIOTT",""
"35027","1516376","REGULAR","VALU MARKET","","5301 MITSCHER AVE","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,001 SQ FT OR OVER","2019-11-15 00:00:00","98","A","VALU MARKET",""
"35027","1516377","REGULAR","VALU MARKET","","5301 MITSCHER AVE","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,001 SQ FT OR OVER","2019-11-15 00:00:00","97","","VALU MARKET",""
"90452","1516382","REGULAR","FLORAL GRIND","","10700 W MANSLICK RD","","FAIRDALE","KY","40118","FOOD SERVICE","2019-11-14 00:00:00","100","A","FLORAL GRIND",""
"99469","1516386","REGULAR","STEVIE J'S","","1831 W JEFFERSON ST","","LOUISVILLE","KY","40211","FOOD SERVICE","2019-11-15 00:00:00","96","A","STEVIE J'S",""
"84884","1516388","REGULAR","HAPPY'S MARKET","","1201 CECIL AVE","","LOUISVILLE","KY","40211","SUPERMARKET WITH PROCESSING","2019-11-15 00:00:00","97","","HAPPY'S MARKET",""
"103441","1516407","REGULAR","HISSHO SUSHI AT MEIJER #162","","9905 DIXIE HWY","","LOUISVILLE","KY","40272","FOOD SERVICE","2019-11-15 00:00:00","100","A","HISSHO SUSHI AT MEIJER #162",""
"92537","1516447","REGULAR","DECK","","2900 S 7TH ST","","LOUISVILLE","KY","40216","FOOD SERVICE","2019-11-17 00:00:00","99","A","DECK",""
"104258","1520019","REGULAR","RAISING CANE'S","","1905 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40220","FOOD SERVICE","2019-12-04 00:00:00","100","A","RAISING CANE'S",""
"86561","1513050","REGULAR","MASTERSON'S CATERING","","1231 LEXINGTON RD","","LOUISVILLE","KY","40204","CATERERS","2019-11-01 00:00:00","94","A","MASTERSON'S CATERING",""
"100132","1513053","REGULAR","NEW LEGACY","","1115 GARVIN PL","","LOUISVILLE","KY","40203","CATERERS","2019-11-01 00:00:00","96","A","NEW LEGACY",""
"107823","1513106","REGULAR","THORNTONS #102","","3909 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-10-24 00:00:00","100","A","THORNTONS #102",""
"107823","1513107","REGULAR","THORNTONS #102","","3909 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-10-24 00:00:00","99","","THORNTONS #102",""
"104386","1513188","REGULAR","NORTH LIME COFFEE & DONUTS","","1228 S 7TH ST","","LOUISVILLE","KY","40203","FOOD SERVICE","2019-11-02 00:00:00","98","A","NORTH LIME COFFEE & DONUTS",""
"83501","1513193","REGULAR","PROSPECT PARTY CENTER","","9521 US HWY 42","","PROSPECT","KY","40059","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-01 00:00:00","98","","PROSPECT PARTY CENTER",""
"59772","1513196","REGULAR","MEIJER #164 GAS","","10701 FISCHER PARK DR","","LOUISVILLE","KY","40241","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-01 00:00:00","99","A","MEIJER #164 GAS",""
"108514","1513200","REGULAR","BAGHDAD FOOD MART","","6921 SOUTHSIDE DR","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-01 00:00:00","99","A","BAGHDAD FOOD MART",""
"108514","1513201","REGULAR","BAGHDAD FOOD MART","","6921 SOUTHSIDE DR","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-01 00:00:00","99","","BAGHDAD FOOD MART",""
"94325","1513204","REGULAR","DIXIE ORIENTAL MARKET","","3900 BARDSTOWN RD","","LOUISVILLE","KY","40218","PRE-PACKAGED RETAIL","2019-10-30 00:00:00","100","","DIXIE ORIENTAL MARKET",""
"97207","1513222","REGULAR","MACK BROTHERS BBQ","","2700 ROCKFORD LN","","LOUISVILLE","KY","40216","FOOD SERVICE","2019-11-01 00:00:00","98","A","MACK BROTHERS BBQ",""
"83394","1517102","REGULAR","OAK STREET FOOD MART","","331 E OAK ST","","LOUISVILLE","KY","40203","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-19 00:00:00","93","","OAK STREET FOOD MART",""
"96541","1517148","REGULAR","LITTLE CAESARS","","5751 PRESTON HWY","","LOUISVILLE","KY","40219","FOOD SERVICE","2019-11-18 00:00:00","94","A","LITTLE CAESARS",""
"66742","1528923","REGULAR","TIENDA CATRACHOS","","414 E KENWOOD DR","","LOUISVILLE","KY","40214","PRE-PACKAGED RETAIL","2020-01-14 00:00:00","100","","TIENDA CATRACHOS",""
"101210","1528936","REGULAR","EAGLE FOOD & BEER HALL","","1314 BARDSTOWN RD","","LOUISVILLE","KY","40204","FOOD SERVICE","2020-01-14 00:00:00","85","C","EAGLE FOOD & BEER HALL",""
"89364","1528947","REGULAR","#1 CHINESE RESTAURANT","","5011 MUD LN","","LOUISVILLE","KY","40229","FOOD SERVICE","2020-01-14 00:00:00","99","A","#1 CHINESE RESTAURANT",""
"97912","1528948","REGULAR","SUBWAY","","4801 OUTER LOOP","","LOUISVILLE","KY","40219","FOOD SERVICE","2020-01-14 00:00:00","100","A","SUBWAY",""
"108371","1531743","REGULAR","NTABA COFFEE HAUS","","2407 BROWNSBORO RD","","LOUISVILLE","KY","40206","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-01-27 00:00:00","100","A","NTABA COFFEE HAUS",""
"108371","1531745","REGULAR","NTABA COFFEE HAUS","","2407 BROWNSBORO RD","","LOUISVILLE","KY","40206","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-01-27 00:00:00","100","","NTABA COFFEE HAUS",""
"68057","1531749","REGULAR","SPEEDWAY #8132","","2300 BROWNSBORO RD","","LOUISVILLE","KY","40207","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-01-27 00:00:00","98","A","SPEEDWAY #8132",""
"40135","1533765","REGULAR","LOUISVILLE DAY","","8711 LAGRANGE RD","","LOUISVILLE","KY","40242","SCHOOL CAFETERIA OR FOOD SERVICE","2020-02-04 00:00:00","100","A","LOUISVILLE DAY",""
"89185","1533766","REGULAR","PORTLAND CHRISTIAN SCHOOL","","8509 WESTPORT RD","","LOUISVILLE","KY","40242","SCHOOL CAFETERIA OR FOOD SERVICE","2020-02-04 00:00:00","100","A","PORTLAND CHRISTIAN SCHOOL",""
"87616","1533767","REGULAR","EASTERN AREA COMMUNITY MINISTRIES","","9104 WESTPORT RD","","LOUISVILLE","KY","40242","RETAIL WITH LIMITED SERVICE","2020-02-04 00:00:00","98","","EASTERN AREA COMMUNITY MINISTRIES",""
"109831","1533768","REGULAR","GUSTAVOS MEXICAN GRILL @ NORTON COMMONS","","10715 MEETNG ST","","PROSPECT","KY","40059","FOOD SERVICE","2020-02-04 00:00:00","96","A","GUSTAVOS MEXICAN GRILL @ NORTON COMMONS",""
"67336","1533769","REGULAR","DOUBLE DRAGON II","","12480 LAGRANGE RD","","LOUISVILLE","KY","40245","FOOD SERVICE","2020-02-04 00:00:00","97","A","DOUBLE DRAGON II",""
"101575","1533770","REGULAR","ALOFT LOUISVILLE EAST","","10700 WESTPORT RD","","LOUISVILLE","KY","40241","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-02-05 00:00:00","100","A","ALOFT LOUISVILLE EAST",""
"101575","1533771","REGULAR","ALOFT LOUISVILLE EAST","","10700 WESTPORT RD","","LOUISVILLE","KY","40241","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-02-05 00:00:00","100","","ALOFT LOUISVILLE EAST",""
"104451","1509601","REGULAR","CUBAN RESTAURANT CORP","","5614 PRESTON HWY","","LOUISVILLE","KY","40219","FOOD SERVICE","2019-10-21 00:00:00","98","A","CUBAN RESTAURANT CORP",""
"82251","1509606","REGULAR","MARIACHI","","9901 LAGRANGE RD","","LOUISVILLE","KY","40223","FOOD SERVICE","2019-10-21 00:00:00","98","A","MARIACHI",""
"100731","1509615","REGULAR","PAPA JOHN'S (SAC)","","2100 S FLOYD ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2019-10-21 00:00:00","98","A","PAPA JOHN'S (SAC)",""
"78135","1509631","REGULAR","SUBWAY","","1830 BLANKENBAKER PKWY","","LOUISVILLE","KY","40299","FOOD SERVICE","2019-10-21 00:00:00","98","A","SUBWAY",""
"89386","1509633","REGULAR","SPEEDWAY #9669","","1830 BLANKENBAKER PKWY","","LOUISVILLE","KY","40299","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-10-21 00:00:00","99","A","SPEEDWAY #9669",""
"106076","1509687","REGULAR","CARDS STAND #49","","2800 S FLOYD ST","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-18 00:00:00","100","A","CARDS STAND #49",""
"106075","1509690","REGULAR","CARDS STAND #43","","2800 S FLOYD ST","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-18 00:00:00","100","A","CARDS STAND #43",""
"61012","1509696","REGULAR","CARDS STAND #20","","2800 S FLOYD ST","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-18 00:00:00","100","A","CARDS STAND #20",""
"61129","1509707","REGULAR","CARDS STAND KY PORK PRODUCERS #18","","2800 S FLOYD ST","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-18 00:00:00","97","A","CARDS STAND KY PORK PRODUCERS #18",""
"61128","1509739","REGULAR","CARDS STAND #06","","2800 S FLOYD ST","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-18 00:00:00","99","A","CARDS STAND #06",""
